# Q(A^-1)        R
7.0012900000000003e-03 7.6831763325258184e-01
7.3775899999999998e-03 9.8045807467140056e-01
7.7771699999999999e-03 9.4334545065255404e-01
8.1707900000000007e-03 9.9851804182373449e-01
8.5547300000000000e-03 1.0000000000000000e+00
8.9432200000000000e-03 1.0000000000000000e+00
9.3141500000000002e-03 9.9540662623720277e-01
9.7058400000000003e-03 9.3779917321200812e-01
1.0112200000000000e-02 9.7658170145593448e-01
1.0479100000000000e-02 1.0000000000000000e+00
1.0879399999999999e-02 9.0502826031638517e-01
1.1269700000000001e-02 9.2958078591474214e-01
1.1652300000000001e-02 8.6737442408754262e-01
1.2047400000000000e-02 7.9351324311415439e-01
1.2433300000000000e-02 8.5504065607047330e-01
1.2827399999999999e-02 8.1239664463880190e-01
1.3222200000000000e-02 8.2643255242231650e-01
1.3621599999999999e-02 8.6059153790657827e-01
1.4009300000000001e-02 8.6449552314715949e-01
1.4372800000000000e-02 8.2678566998417768e-01
1.4766600000000000e-02 8.5821931804645701e-01
1.5159900000000000e-02 8.4152391932606430e-01
1.5523199999999999e-02 8.6870486869009200e-01
1.5931000000000001e-02 9.8864323022440270e-01
1.6313399999999999e-02 9.6755178802365494e-01
1.6665800000000001e-02 9.6451480501305786e-01
1.7051500000000001e-02 9.7153344179528667e-01
1.7460199999999999e-02 1.0000000000000000e+00
1.7888999999999999e-02 9.2538847231472787e-01
1.8267800000000001e-02 8.9925101719657541e-01
1.8622500000000000e-02 8.8980890291999415e-01
1.9032700000000000e-02 9.2393229908208552e-01
1.9400899999999999e-02 7.7750784951117180e-01
1.9796700000000000e-02 7.2837484682684839e-01
2.0221200000000002e-02 7.0555265395973188e-01
2.0548500000000001e-02 6.7678834832642421e-01
2.0951999999999998e-02 5.6782380258044318e-01
2.1329100000000000e-02 4.6028093940108022e-01
2.1743400000000000e-02 3.8710546292662357e-01
2.2113899999999999e-02 3.5142034021350593e-01
2.2487300000000002e-02 2.3854436027466627e-01
2.2902499999999999e-02 1.9449914762383774e-01
2.3259999999999999e-02 1.6611932842531540e-01
2.3643200000000000e-02 1.4457551909091093e-01
2.4024100000000000e-02 1.1890208688153148e-01
2.4403700000000000e-02 1.0864042482604057e-01
2.4837100000000001e-02 7.8404191449716013e-02
2.5226200000000001e-02 6.7725450373494547e-02
2.5642900000000000e-02 5.5934321871972913e-02
2.6004400000000000e-02 4.8489332774376996e-02
2.5023500000000001e-02 7.1031884455201477e-02
2.7369800000000000e-02 2.6707100649064505e-02
2.9852400000000001e-02 1.0458334729110249e-02
3.2298199999999999e-02 5.5080631232059295e-03
3.4687700000000002e-02 4.2053430287281252e-03
3.7120100000000003e-02 3.0361276613296946e-03
3.9605099999999997e-02 1.6491123769447474e-03
4.1959799999999998e-02 1.0202777927626656e-03
4.4417400000000003e-02 5.0773227393762204e-04
4.6760299999999998e-02 3.3565094027649756e-04
4.9116000000000000e-02 2.3249802674035302e-04
5.1616099999999998e-02 1.4034937813934499e-04
5.3993800000000002e-02 1.0037603014400646e-04
5.6322499999999998e-02 6.5121233669477934e-05
5.8874900000000001e-02 5.5641537593839783e-05
6.1314599999999997e-02 4.4167203772721223e-05
6.3744499999999996e-02 2.4574437914508521e-05
6.6115699999999999e-02 1.3198788281197868e-05
6.8568100000000007e-02 7.3273556575819175e-06
7.0970599999999995e-02 4.5186993257989897e-06
7.3359700000000000e-02 3.3857909888739120e-06
7.5735499999999997e-02 2.3980202125117640e-06
7.8234600000000001e-02 1.7236160670030750e-06
8.0503400000000003e-02 1.2450923635352976e-06
8.3112300000000000e-02 7.9418376337090474e-07
8.5523100000000005e-02 5.6653115164741483e-07
8.8011400000000004e-02 4.9478161088387274e-07
9.0454900000000005e-02 3.5819994781894992e-07
9.5077999999999996e-02 2.5246525082164420e-07
9.7787499999999999e-02 2.1315868278252911e-07
9.4927800000000007e-02 2.5093186915462993e-07
1.1329500000000001e-01 7.3843083782100584e-08
1.1939600000000000e-01 4.4507263588737811e-08
1.2565399999999999e-01 3.1001006375336428e-08
1.4372799999999999e-01 9.0371090389037469e-09
1.3971300000000000e-01 1.1958090800521080e-08
1.6538700000000001e-01 2.5096646850709426e-09
1.8211100000000000e-01 1.0390970474683314e-09
1.9061900000000001e-01 6.5063917007594610e-10
2.0732700000000001e-01 2.4893877463725586e-10
2.4990899999999999e-01 1.8022430907837230e-11
2.5789200000000001e-01 1.0484866059955405e-11
2.6611299999999999e-01 5.7611379938920247e-12
2.7399200000000001e-01 3.2954377898442152e-12
2.8305200000000003e-01 1.7089672575940511e-12
2.9142899999999999e-01 1.0295121157431697e-12
