# Q(A^-1)        R
7.0010100000000002e-03 9.5496658284058644e-01
7.3845400000000002e-03 9.8489062697028151e-01
7.7933000000000004e-03 9.9004304723140335e-01
8.1732799999999998e-03 9.6178401399849089e-01
8.5573100000000003e-03 9.9159657901077713e-01
8.9236699999999999e-03 9.9585744594825543e-01
9.3317000000000001e-03 9.6042671638537636e-01
9.7193399999999999e-03 9.9490390147881247e-01
1.0101799999999999e-02 9.4920427696984455e-01
1.0518700000000001e-02 9.4017061404252433e-01
1.0867600000000000e-02 8.7290421493202219e-01
1.1267900000000001e-02 9.5518447586880484e-01
1.1647100000000001e-02 9.4859995223340221e-01
1.2039899999999999e-02 9.6780785164172289e-01
1.2427300000000000e-02 9.9125619196877601e-01
1.2810999999999999e-02 9.9535158331500972e-01
1.3202000000000000e-02 9.9948286850279056e-01
1.3580399999999999e-02 9.7923027415006691e-01
1.4005900000000000e-02 9.8562389262033345e-01
1.4371699999999999e-02 9.7248759817302877e-01
1.4747900000000000e-02 9.8377821858618852e-01
1.5113800000000000e-02 9.9297672502587864e-01
1.5527600000000001e-02 9.7318809499075609e-01
1.5897000000000001e-02 9.9190755200671687e-01
1.6305500000000001e-02 9.6170788053606793e-01
1.6680799999999999e-02 9.4533684930899342e-01
1.7083999999999998e-02 9.0121519517473192e-01
1.7442800000000001e-02 8.2817085592564033e-01
1.7838400000000001e-02 7.2670245843498338e-01
1.8249499999999998e-02 6.3098587179693577e-01
1.8650300000000002e-02 5.5513363734813714e-01
1.9018199999999999e-02 4.3772430703767534e-01
1.9406099999999999e-02 3.5417384459363443e-01
1.9819600000000000e-02 2.7222324011823024e-01
2.0189599999999999e-02 2.1428386782636752e-01
2.0557300000000001e-02 1.6689413289487312e-01
2.0954000000000000e-02 1.2505180400548743e-01
2.1336600000000001e-02 9.5060564310499474e-02
2.1752000000000001e-02 7.2318075074526922e-02
2.2124800000000000e-02 6.0130784588457414e-02
2.2521200000000002e-02 4.8196336635467296e-02
2.2927400000000001e-02 3.8163643814028293e-02
2.3263300000000001e-02 3.2984715895393840e-02
2.3654900000000000e-02 2.8051844252876400e-02
2.4038100000000000e-02 2.5350947316338229e-02
2.4450800000000002e-02 2.2559060004734701e-02
2.4837600000000001e-02 2.0748536781677547e-02
2.5233599999999998e-02 1.8914581953605986e-02
2.5610000000000001e-02 1.6969258160164501e-02
2.5994699999999999e-02 1.5636215939669337e-02
2.5006600000000000e-02 1.9845093475414390e-02
2.7401600000000002e-02 1.2037926707035997e-02
2.9792099999999998e-02 6.9149011645296106e-03
3.2192300000000000e-02 4.2762116617377057e-03
3.4673299999999997e-02 3.1943028660022009e-03
3.7147899999999998e-02 2.8286329914279404e-03
3.9486100000000003e-02 2.5594820405559675e-03
4.1958900000000000e-02 1.9993132200755138e-03
4.4339099999999999e-02 1.5030684844515598e-03
4.6787700000000002e-02 1.0637961513953985e-03
4.9215900000000000e-02 8.1041910521134749e-04
5.1565600000000003e-02 5.9568791193301425e-04
5.4046900000000002e-02 4.7312438989212933e-04
5.6492800000000003e-02 3.7310312602571998e-04
5.8946300000000000e-02 3.3092156933410197e-04
6.1280899999999999e-02 2.9219383106247215e-04
6.3730899999999993e-02 2.4781853028739550e-04
6.6199200000000000e-02 2.1403288044840736e-04
6.8465600000000001e-02 1.9448513395758642e-04
7.0942300000000000e-02 1.7210095986343527e-04
7.3532200000000006e-02 1.5459884269000408e-04
7.5896300000000000e-02 1.3614244412415822e-04
7.8241199999999997e-02 1.1948621269681735e-04
8.0627699999999997e-02 1.0225237125784796e-04
8.3177399999999999e-02 8.8666058664994582e-05
8.5508399999999998e-02 7.5865197221157828e-05
8.7898199999999996e-02 6.7264702033506210e-05
9.0278399999999995e-02 5.7549385449672384e-05
9.2735799999999993e-02 5.1261743520639150e-05
9.5214499999999994e-02 4.7101047423304963e-05
9.7562200000000002e-02 4.0449923053991361e-05
9.9942000000000003e-02 3.7982639245866347e-05
9.5000200000000007e-02 4.7283751296010919e-05
1.0100000000000001e-01 3.6717336222017093e-05
1.0728600000000001e-01 2.9224002143507556e-05
1.1332800000000000e-01 2.2678089297139424e-05
1.1938300000000000e-01 1.8575196004199790e-05
1.2559600000000001e-01 1.5302852881042320e-05
1.3168299999999999e-01 1.2602072144836160e-05
1.3806499999999999e-01 1.0369680160490714e-05
1.4384800000000000e-01 8.5613342245628036e-06
1.5000100000000000e-01 6.9198434949907971e-06
1.4011699999999999e-01 9.5218725970900987e-06
1.4843500000000001e-01 7.3402762180125858e-06
1.5686700000000001e-01 5.5614019520869633e-06
1.6511300000000001e-01 4.4449788185662176e-06
1.7371000000000000e-01 3.4776202414924942e-06
1.8207499999999999e-01 2.8346336458705812e-06
1.9057099999999999e-01 2.3674761424895552e-06
1.9889899999999999e-01 1.9505011695806692e-06
2.0762800000000001e-01 1.6451193086963203e-06
2.1524199999999999e-01 1.3832914800450670e-06
2.3273600000000000e-01 9.8167602969541472e-07
2.4090300000000001e-01 8.4535357123324621e-07
2.5773900000000000e-01 6.0698850252546618e-07
2.6626200000000000e-01 5.0819791422985575e-07
2.7474599999999999e-01 4.2003993990392766e-07
2.8292699999999998e-01 3.6136462384843615e-07
2.9131899999999999e-01 3.2884561740569958e-07
