# Q(A^-1)        R
6.9898900000000003e-03 9.7321021065091917e-01
7.2769200000000001e-03 8.9605778829280203e-01
7.5505800000000003e-03 9.9041666102768355e-01
7.8376999999999995e-03 1.0000000000000000e+00
8.1004000000000007e-03 1.0000000000000000e+00
8.3745699999999996e-03 1.0000000000000000e+00
8.6563100000000004e-03 1.0000000000000000e+00
8.9247800000000002e-03 1.0000000000000000e+00
9.1964100000000003e-03 1.0000000000000000e+00
9.4706300000000007e-03 1.0000000000000000e+00
9.7584500000000001e-03 1.0000000000000000e+00
1.0055500000000000e-02 1.0000000000000000e+00
1.0300300000000000e-02 9.9969420175593338e-01
1.0563400000000001e-02 9.9712372191017773e-01
1.0856500000000000e-02 9.4453930765923233e-01
1.1127900000000000e-02 9.2037468433395941e-01
1.1400400000000000e-02 9.1756097402678993e-01
1.1673200000000000e-02 8.8825608608564621e-01
1.1951600000000000e-02 8.6099156904061169e-01
1.2227500000000001e-02 8.6072322338747043e-01
1.2520399999999999e-02 8.3668098555615211e-01
1.2784300000000000e-02 8.0855501694381748e-01
1.3063900000000000e-02 7.7924470221448894e-01
1.3333599999999999e-02 7.1169778865057509e-01
1.3610499999999999e-02 6.5830346676353069e-01
1.3865499999999999e-02 6.1194768021571821e-01
1.4137700000000000e-02 5.7742660657026212e-01
1.4440200000000000e-02 5.4099568811053933e-01
1.4712899999999999e-02 4.7937510684853563e-01
1.5008900000000000e-02 4.3767667479917510e-01
1.5248400000000000e-02 4.0297609118869482e-01
1.5523600000000000e-02 3.6114941251168614e-01
1.5827200000000000e-02 3.0920945807732353e-01
1.6093500000000000e-02 2.6797201880658023e-01
1.6349800000000001e-02 2.3429810458767922e-01
1.6608999999999999e-02 2.0342431889377321e-01
1.6914200000000001e-02 1.7686992515090097e-01
1.7206800000000001e-02 1.4131055651908514e-01
1.7437999999999999e-02 1.2516221216683893e-01
1.7743200000000001e-02 1.0611071965934582e-01
1.8009500000000001e-02 8.8445411828350903e-02
1.8300799999999999e-02 7.4761828040406653e-02
1.8579800000000000e-02 6.4404936075632330e-02
1.8818200000000000e-02 5.8054528194204306e-02
1.9114500000000000e-02 4.9962488389509022e-02
1.9416300000000001e-02 4.4119408510488074e-02
1.9691899999999998e-02 3.9775017936146177e-02
1.9971400000000000e-02 3.4863709927981233e-02
2.0228500000000000e-02 3.1233188675489760e-02
2.0472600000000001e-02 2.8697258823104449e-02
2.0772499999999999e-02 2.5763425661787940e-02
2.1046800000000001e-02 2.4185496689791686e-02
2.1348900000000001e-02 2.2564567942101925e-02
2.1631999999999998e-02 2.1109793508653968e-02
2.1879200000000001e-02 2.0308669564570829e-02
2.2112799999999998e-02 1.9397676783055946e-02
2.2405399999999999e-02 1.8251060464910179e-02
2.2692100000000000e-02 1.7585685756996552e-02
2.2970899999999999e-02 1.7358599826403164e-02
2.3231999999999999e-02 1.7092067726338270e-02
2.3524900000000001e-02 1.6063960963473106e-02
2.3787599999999999e-02 1.4734874666705202e-02
2.4083500000000001e-02 1.4525196407542051e-02
2.4372300000000000e-02 1.3680841838840236e-02
2.4608100000000001e-02 1.3847705684970122e-02
2.4887500000000000e-02 1.2531911061706499e-02
2.5187299999999999e-02 1.2051731971184388e-02
2.5486499999999999e-02 1.1467428505427474e-02
2.5754400000000000e-02 1.1078806067243740e-02
2.6016299999999999e-02 1.0463958915276711e-02
2.4979999999999999e-02 1.2298819624197937e-02
2.7477399999999999e-02 7.9980127983729568e-03
2.9859900000000002e-02 4.6888736164015119e-03
3.2259099999999999e-02 3.0779854890236680e-03
3.4679200000000000e-02 2.1040598513988977e-03
3.7121500000000002e-02 1.8425118588389019e-03
3.9510700000000003e-02 1.5456235749977114e-03
4.1931999999999997e-02 1.1715625225945910e-03
4.4374999999999998e-02 9.0026972730288327e-04
4.6758500000000001e-02 6.8428993860458829e-04
4.9239900000000003e-02 5.7625246919592557e-04
5.1493400000000002e-02 4.5929361252707696e-04
5.3997900000000001e-02 3.4700272932414498e-04
5.6446099999999999e-02 2.8544430059960574e-04
5.8786499999999998e-02 2.4421932618404863e-04
6.1190000000000001e-02 2.1272553754362426e-04
6.3721600000000003e-02 1.7947575663897401e-04
6.6135299999999994e-02 1.4640077006477213e-04
6.8450399999999995e-02 1.2335265894348939e-04
7.1046799999999993e-02 1.0417624994155428e-04
7.3336100000000001e-02 9.1367400750646895e-05
7.5817899999999994e-02 8.3537889680754574e-05
7.8238000000000002e-02 7.7889514302890043e-05
8.0644599999999997e-02 6.5497875875083263e-05
8.3137699999999995e-02 5.8400364563562264e-05
8.5592900000000000e-02 5.1344479709838193e-05
8.8020200000000007e-02 4.3608537374444320e-05
9.0215900000000002e-02 3.9287227261544719e-05
9.2865900000000001e-02 3.3965934899391739e-05
9.5158099999999995e-02 2.9312953958640797e-05
9.7578499999999999e-02 2.5141681368158559e-05
9.9987800000000002e-02 2.3308516097484208e-05
9.4901200000000005e-02 3.0578424583238750e-05
1.0117200000000000e-01 2.1825789642647922e-05
1.0725200000000000e-01 1.6190717927425871e-05
1.1342800000000000e-01 1.2283940196113732e-05
1.1956000000000000e-01 9.4888834412165807e-06
1.2530400000000000e-01 7.7793876702921535e-06
1.3159000000000001e-01 6.0397677702468380e-06
1.3787300000000000e-01 4.9477701338165273e-06
1.4396200000000001e-01 3.8246959147606112e-06
1.5021200000000001e-01 3.0887972091678611e-06
1.4021700000000001e-01 4.3801530737772225e-06
1.4826600000000001e-01 3.2811593002331291e-06
1.5648300000000001e-01 2.4404101912754460e-06
1.6530400000000001e-01 1.7722097772404476e-06
1.7363000000000001e-01 1.3461422460008270e-06
1.8244900000000000e-01 9.6432235988756424e-07
1.9022200000000000e-01 7.2844621841290689e-07
1.9894700000000001e-01 5.6187632818119186e-07
2.0733399999999999e-01 4.0504967850726171e-07
2.2374400000000000e-01 2.3289903317128114e-07
2.3291899999999999e-01 1.7129150233082139e-07
2.4115100000000000e-01 1.2692575878845824e-07
2.6642100000000002e-01 5.5159728392564392e-08
2.7483400000000002e-01 4.3893587998398079e-08
2.8300799999999998e-01 3.3502351214268525e-08
2.9139199999999998e-01 2.5120335775398071e-08
