# Q(A^-1)        R
7.0031199999999998e-03 9.8732087178107186e-01
7.3834599999999997e-03 9.8621297639795857e-01
7.7777100000000002e-03 1.0000000000000000e+00
8.1564800000000007e-03 1.0000000000000000e+00
8.5523999999999999e-03 1.0000000000000000e+00
8.9355600000000004e-03 1.0000000000000000e+00
9.3167700000000003e-03 1.0000000000000000e+00
9.7160700000000003e-03 1.0000000000000000e+00
1.0118600000000000e-02 1.0000000000000000e+00
1.0505799999999999e-02 1.0000000000000000e+00
1.0875599999999999e-02 1.0000000000000000e+00
1.1286800000000000e-02 1.0000000000000000e+00
1.1653100000000000e-02 1.0000000000000000e+00
1.2038000000000000e-02 1.0000000000000000e+00
1.2432100000000000e-02 1.0000000000000000e+00
1.2796999999999999e-02 9.5050728545103014e-01
1.3195600000000000e-02 8.3711883558650702e-01
1.3606600000000000e-02 7.5924958341562387e-01
1.3968299999999999e-02 6.8739316484489321e-01
1.4387300000000000e-02 5.9053851721858130e-01
1.4771100000000001e-02 4.8078946115691268e-01
1.5131500000000001e-02 3.8433263392325612e-01
1.5542600000000000e-02 2.9196735363409682e-01
1.5920199999999999e-02 2.1395432392454605e-01
1.6330600000000001e-02 1.4835941743786307e-01
1.6687400000000002e-02 1.0878875463820459e-01
1.7086400000000002e-02 7.4089998786021086e-02
1.7462600000000002e-02 5.0715684694127419e-02
1.7853899999999999e-02 3.4765816121988279e-02
1.8253399999999999e-02 2.3371343661599767e-02
1.8618099999999999e-02 1.6095342093469661e-02
1.9025299999999998e-02 1.1269120109702215e-02
1.9390700000000000e-02 8.1181721277440409e-03
1.9806500000000001e-02 5.6031090647098297e-03
2.0152099999999999e-02 3.9439862514875071e-03
2.0534899999999998e-02 3.0324461785310600e-03
2.0912500000000001e-02 2.2482193927451776e-03
2.1325799999999999e-02 1.6561964064212152e-03
2.1740499999999999e-02 1.2410570709087559e-03
2.2096500000000002e-02 1.0403779883603023e-03
2.2498299999999999e-02 8.0527663906788407e-04
2.2879699999999999e-02 6.6651068971658705e-04
2.3270300000000001e-02 5.7533572255524345e-04
2.3657899999999999e-02 4.8602909728705874e-04
2.4049500000000001e-02 4.5651198698683150e-04
2.4465400000000002e-02 4.0136712656824159e-04
2.4807599999999999e-02 3.4711814266008317e-04
2.5221199999999999e-02 2.9120146970481643e-04
2.5599600000000000e-02 2.6712913921529414e-04
2.5995100000000000e-02 2.3663315969194536e-04
2.4985899999999998e-02 3.2112750138387370e-04
2.7446200000000000e-02 1.6541827905287068e-04
2.9815100000000001e-02 9.0487800437301526e-05
3.2245400000000000e-02 5.5804765246544852e-05
3.4630700000000000e-02 4.3231998481384413e-05
3.7050300000000001e-02 3.8090258967931486e-05
3.9471199999999998e-02 2.9309417375396272e-05
4.1914600000000003e-02 2.2060343021068959e-05
4.4350500000000001e-02 1.6333787561439787e-05
4.6693100000000001e-02 1.3873521196932474e-05
4.9207200000000000e-02 1.1581575937588146e-05
5.1668199999999997e-02 9.4653199965620952e-06
5.4063500000000000e-02 7.6834202473379283e-06
5.6411900000000001e-02 6.4253561406106337e-06
5.8886500000000001e-02 5.7995884327225300e-06
6.1269600000000000e-02 4.9975832924535635e-06
6.3721600000000003e-02 4.1433814790851618e-06
6.6124299999999997e-02 3.4366536342369979e-06
6.8494100000000002e-02 2.8514640074738846e-06
7.0909399999999997e-02 2.3513964964856057e-06
7.6051499999999994e-02 1.9114318795016855e-06
7.8333299999999995e-02 1.7561384933011628e-06
8.0603599999999997e-02 1.5564251282737574e-06
8.3125099999999993e-02 1.3449048625919241e-06
8.5461400000000007e-02 1.1397599169953702e-06
8.7707800000000002e-02 1.0484792835933891e-06
9.0281799999999995e-02 9.0047364571450745e-07
9.2733899999999994e-02 8.2389908090223685e-07
9.5231700000000002e-02 7.2159174692915239e-07
9.7574800000000003e-02 6.7835625937118125e-07
9.9978300000000006e-02 6.1865085172990514e-07
9.5038899999999996e-02 7.3936788892622179e-07
1.0704400000000000e-01 4.9467134396027291e-07
1.1933199999999999e-01 3.0116175661997046e-07
1.3795600000000000e-01 1.6461879387459478e-07
1.5006200000000000e-01 1.1252108623017570e-07
1.5710299999999999e-01 9.7186698011514683e-08
1.9013700000000000e-01 4.2407222791982233e-08
2.2400500000000001e-01 2.0147399820659898e-08
2.4047700000000000e-01 1.4911447633531673e-08
2.8335399999999999e-01 6.6122486040313240e-09
2.9130899999999998e-01 5.4917991026280257e-09
