# Q(A^-1)        R
6.9992700000000001e-03 8.8164925454551279e-01
7.3930200000000001e-03 9.4786021822329980e-01
7.7799399999999999e-03 9.6953628633135169e-01
8.1577000000000004e-03 9.9795935632915123e-01
8.5519800000000007e-03 1.0000000000000000e+00
8.9409499999999996e-03 1.0000000000000000e+00
9.3160900000000008e-03 1.0000000000000000e+00
9.7085899999999996e-03 1.0000000000000000e+00
1.0110500000000000e-02 1.0000000000000000e+00
1.0487399999999999e-02 1.0000000000000000e+00
1.0874800000000000e-02 1.0000000000000000e+00
1.1257000000000000e-02 1.0000000000000000e+00
1.1644699999999999e-02 1.0000000000000000e+00
1.2025100000000000e-02 1.0000000000000000e+00
1.2433500000000000e-02 1.0000000000000000e+00
1.2839100000000001e-02 1.0000000000000000e+00
1.3203899999999999e-02 1.0000000000000000e+00
1.3624000000000001e-02 1.0000000000000000e+00
1.3980899999999999e-02 1.0000000000000000e+00
1.4380499999999999e-02 1.0000000000000000e+00
1.4768200000000000e-02 9.5512983499942672e-01
1.5114000000000001e-02 8.6108080363256578e-01
1.5549800000000001e-02 7.4449524818903601e-01
1.5904100000000001e-02 6.3358325340717314e-01
1.6305500000000001e-02 5.2407990082700862e-01
1.6701100000000000e-02 3.8247992585065155e-01
1.7083700000000000e-02 2.8877416550484764e-01
1.7431100000000001e-02 2.3472905738227801e-01
1.7850800000000000e-02 1.6781836363696295e-01
1.8226200000000001e-02 1.2214131760097433e-01
1.8621400000000000e-02 8.2495826159323049e-02
1.9058700000000001e-02 6.5324843216105197e-02
1.9396099999999999e-02 4.8899175735627035e-02
1.9764100000000000e-02 3.8818428700419981e-02
2.0192999999999999e-02 2.6043761105900242e-02
2.0544000000000000e-02 2.1291467199505105e-02
2.0975500000000001e-02 1.5734785626473784e-02
2.1346400000000001e-02 1.1279893305930365e-02
2.1750800000000001e-02 8.5755943013595907e-03
2.2126799999999999e-02 6.9609320517061814e-03
2.2463899999999998e-02 5.4411339083805434e-03
2.2882199999999998e-02 4.2705611959650428e-03
2.3294599999999999e-02 3.2509771514997628e-03
2.3646400000000001e-02 2.6654896250465970e-03
2.4039600000000001e-02 2.2987595979289785e-03
2.4440199999999999e-02 1.8957016147984895e-03
2.4881700000000000e-02 1.4261392402180463e-03
2.5212300000000000e-02 1.2186831137202870e-03
2.5644799999999999e-02 1.0094088076235267e-03
2.5048100000000000e-02 1.3159399040177482e-03
2.7449100000000001e-02 5.3209418466187693e-04
2.9806400000000000e-02 2.2765243889348059e-04
3.2242800000000002e-02 1.0117320516313999e-04
3.4714799999999997e-02 7.3796737951593885e-05
3.7095099999999999e-02 6.3921075899704856e-05
3.9494799999999997e-02 4.8320382280494544e-05
4.1954499999999999e-02 3.6068337941771911e-05
4.4322000000000000e-02 2.4825135960985682e-05
4.6719700000000003e-02 2.0267052884093871e-05
4.9178300000000001e-02 1.6633494909180774e-05
5.1657399999999999e-02 1.2583041246057544e-05
5.4037900000000000e-02 9.4491655422918298e-06
5.6429600000000003e-02 8.5196162623086728e-06
5.8883100000000001e-02 8.0298615233512504e-06
6.1403500000000000e-02 7.6093631130678565e-06
6.3719300000000006e-02 6.0540322520128839e-06
6.6098799999999999e-02 4.4102889262435209e-06
6.8612400000000004e-02 3.1323647501894310e-06
7.0978500000000000e-02 2.4281514320838303e-06
7.3395199999999994e-02 2.0846291199874704e-06
7.5690599999999997e-02 2.0698976719148595e-06
7.8195399999999998e-02 1.8657384010839061e-06
8.0667900000000001e-02 1.6117083861666619e-06
8.3157099999999998e-02 1.3408893055608358e-06
8.5411799999999996e-02 1.1128002473725589e-06
8.7903400000000007e-02 9.6484464541989299e-07
9.2640899999999998e-02 6.7019577855935133e-07
9.5230700000000001e-02 5.6335275705839659e-07
1.0006100000000000e-01 4.4282996988884948e-07
9.4775300000000007e-02 5.8888705449539668e-07
1.0113000000000000e-01 4.2873135741162254e-07
1.0742300000000000e-01 3.0246696753189137e-07
1.1336599999999999e-01 2.2777583704978484e-07
1.2537000000000001e-01 1.0802644576886013e-07
1.3777500000000001e-01 5.0850273354892187e-08
1.4382700000000001e-01 3.5287964617898630e-08
1.4987600000000001e-01 2.5323255318852626e-08
1.3963300000000001e-01 4.5791478194569063e-08
1.5679899999999999e-01 1.7857387653594964e-08
1.6522800000000001e-01 1.1410907961043293e-08
1.9045899999999999e-01 2.9519236492224029e-09
1.9830800000000001e-01 1.8874670536746963e-09
2.0749400000000001e-01 1.1145182959509278e-09
2.1595000000000000e-01 6.7127027185025069e-10
2.3274400000000001e-01 2.5737786198836448e-10
2.4921800000000000e-01 1.0742756349633745e-10
2.5837500000000002e-01 5.8965172085614249e-11
