# Q(A^-1)        R
7.0045699999999999e-03 9.8536869149807971e-01
7.2785699999999998e-03 9.9997708617988013e-01
7.5515100000000000e-03 9.8401875915617842e-01
7.8387900000000000e-03 9.4804589644385517e-01
8.1159700000000001e-03 9.1478400882529554e-01
8.3963100000000006e-03 8.8179287673349349e-01
8.6471499999999993e-03 8.3193448196441777e-01
8.9305400000000007e-03 7.9514722708561381e-01
9.1860399999999995e-03 7.4936133664043036e-01
9.4766999999999994e-03 6.6816808649200488e-01
9.7652599999999996e-03 6.1738394875484737e-01
1.0033000000000000e-02 5.5602049902829687e-01
1.0304600000000001e-02 4.8474839040914247e-01
1.0572099999999999e-02 4.0467502344638184e-01
1.0858100000000001e-02 3.6377435094881116e-01
1.1121300000000001e-02 3.2143214057457759e-01
1.1416400000000000e-02 2.7583097947837015e-01
1.1673500000000000e-02 2.3153141071571975e-01
1.1970000000000000e-02 1.9489351786068954e-01
1.2207000000000001e-02 1.6948377056857958e-01
1.2523700000000000e-02 1.3557149302864921e-01
1.2780300000000000e-02 1.1278377698730831e-01
1.3050100000000000e-02 9.5120416693618121e-02
1.3326100000000000e-02 8.0785114147772105e-02
1.3604600000000000e-02 6.6268229367396334e-02
1.3878600000000000e-02 5.7310809646522659e-02
1.4151499999999999e-02 4.7996731260980280e-02
1.4431500000000000e-02 4.0482901264855715e-02
1.4708300000000001e-02 3.4512029174969795e-02
1.4982600000000000e-02 2.9921591594214890e-02
1.5268800000000001e-02 2.4973180949319763e-02
1.5539300000000001e-02 2.1943734844886206e-02
1.5791400000000001e-02 1.9901377479818329e-02
1.6086900000000001e-02 1.7460958213930480e-02
1.6355200000000000e-02 1.5588776971373522e-02
1.6675499999999999e-02 1.3961395083507716e-02
1.6927999999999999e-02 1.2579569554957735e-02
1.7185700000000002e-02 1.1497154625476395e-02
1.7461100000000000e-02 1.0611324784057064e-02
1.7750200000000001e-02 9.4217700138357723e-03
1.7972999999999999e-02 9.0111309806633708e-03
1.8307700000000000e-02 8.5173659487783535e-03
1.8558200000000000e-02 8.3844745595273561e-03
1.8805700000000002e-02 8.1139853721179205e-03
1.9092899999999999e-02 7.4984238771779481e-03
1.9428299999999999e-02 7.1762068912055391e-03
1.9661900000000000e-02 7.1337353249239215e-03
1.9939200000000001e-02 6.9251463299291847e-03
2.0185499999999999e-02 6.7382211052600428e-03
2.0484100000000002e-02 6.5753226768721250e-03
2.0793200000000001e-02 6.4006809394263897e-03
2.1009199999999999e-02 6.1483215561527593e-03
2.1305299999999999e-02 5.9612752958088742e-03
2.1612400000000000e-02 5.3506569333874477e-03
2.1853700000000000e-02 5.1960230613540929e-03
2.2123500000000001e-02 4.9215490964363458e-03
2.2402900000000000e-02 4.5618778456167994e-03
2.2696999999999998e-02 4.1471251653257251e-03
2.2984299999999999e-02 4.0098182272213928e-03
2.3235900000000000e-02 3.8711626563404716e-03
2.3574899999999999e-02 3.4816055937270931e-03
2.3807499999999999e-02 3.3223336384939550e-03
2.4087299999999999e-02 3.0192762411300144e-03
2.4316700000000000e-02 2.7828741563950205e-03
2.4625800000000000e-02 2.7108937538924964e-03
2.4936199999999999e-02 2.4281523174047048e-03
2.5152000000000001e-02 2.3279983980774958e-03
2.5461399999999999e-02 2.1811559743857120e-03
2.5707199999999999e-02 2.0829749396209349e-03
2.5991400000000001e-02 1.9560233540484857e-03
2.5001499999999999e-02 2.3978462426499933e-03
2.7409900000000001e-02 1.5522107722393077e-03
2.9829800000000000e-02 1.0687036097019767e-03
3.2315099999999999e-02 7.5284779594366727e-04
3.4687700000000002e-02 5.7444551025565525e-04
3.7103600000000000e-02 4.4027696771475986e-04
3.9577399999999999e-02 3.2572765533285677e-04
4.2006099999999998e-02 2.4249331201265712e-04
4.4304400000000001e-02 1.9032848407842158e-04
4.6703200000000000e-02 1.5572866302181274e-04
4.9211900000000003e-02 1.3797075001086787e-04
5.1563499999999998e-02 1.0972224598204545e-04
5.3966699999999999e-02 8.9243471061635214e-05
5.6410799999999997e-02 7.4122399676193067e-05
5.8914800000000003e-02 6.6281983816782135e-05
6.1315900000000000e-02 5.8558741926340877e-05
6.3683500000000004e-02 4.6766793571331382e-05
6.6107700000000005e-02 3.6684772634674145e-05
6.8697400000000006e-02 2.9250366518234626e-05
7.1021299999999996e-02 2.3749252649247923e-05
7.3349999999999999e-02 2.1241783285210048e-05
7.5784199999999996e-02 1.9512795540791553e-05
7.8166100000000002e-02 1.7238106008088992e-05
8.0638699999999994e-02 1.5263489350055492e-05
8.3179299999999998e-02 1.3323549613872090e-05
8.5607000000000003e-02 1.1575913813490128e-05
8.7848300000000004e-02 1.0265950685320706e-05
9.0419399999999997e-02 8.7354966568011892e-06
9.2876600000000004e-02 7.8827858560182752e-06
9.5129800000000000e-02 7.2342032768814561e-06
9.7577700000000003e-02 6.2292628878348259e-06
9.9957000000000004e-02 5.7510437861303532e-06
9.5131900000000005e-02 7.2342298819495650e-06
1.0110900000000000e-01 5.6419400737472204e-06
1.0718800000000001e-01 4.3574854024654255e-06
1.1336100000000000e-01 3.4159529567633148e-06
1.1954300000000000e-01 2.6025863998021489e-06
1.2565200000000001e-01 2.0906503746852521e-06
1.3787800000000000e-01 1.2580135748669916e-06
1.5001200000000001e-01 7.8323481671693891e-07
1.4861500000000000e-01 8.2571508337868743e-07
1.5684500000000001e-01 6.2316765683726158e-07
1.6533200000000001e-01 4.6259433769709750e-07
1.9028200000000001e-01 1.9956279311986741e-07
2.4947900000000001e-01 3.5066964594336537e-08
2.5776700000000002e-01 2.6084357806149872e-08
2.7485700000000002e-01 1.5297706027615661e-08
2.8309499999999999e-01 1.1781686984220902e-08
2.9151199999999999e-01 9.3876027633947683e-09
