# Q(A^-1)        R
6.9972200000000002e-03 8.4948003534373373e-01
7.6535800000000001e-03 9.3929191969579151e-01
8.3078300000000004e-03 9.3342106064406882e-01
8.9699099999999993e-03 9.6832428384910352e-01
9.6192799999999992e-03 9.9070601204524267e-01
1.0270300000000000e-02 9.1259426875597094e-01
1.0937199999999999e-02 8.8082173325780022e-01
1.1598199999999999e-02 9.4895172059475763e-01
1.2217300000000000e-02 9.9378568018369462e-01
1.2884000000000000e-02 9.9543934273943868e-01
1.3529100000000001e-02 9.7810665468610369e-01
1.4202100000000000e-02 9.7745044492539879e-01
1.4860200000000000e-02 9.7408693503906207e-01
1.5511300000000000e-02 9.8654721681975666e-01
1.6192900000000000e-02 1.0000000000000000e+00
1.6808300000000002e-02 1.0000000000000000e+00
1.7454700000000000e-02 9.8503438709543778e-01
1.8142700000000001e-02 9.4872137512990362e-01
1.8772600000000000e-02 9.7663529972595975e-01
1.9446600000000001e-02 9.4290156875977382e-01
2.0137599999999999e-02 8.9449686095568726e-01
2.0777799999999999e-02 8.8781646280290383e-01
2.1421200000000001e-02 8.6726476071221825e-01
2.2050000000000000e-02 8.2343855684328160e-01
2.2713600000000000e-02 7.6424979514043889e-01
2.3376000000000001e-02 7.0452582270321107e-01
2.4066100000000000e-02 6.0619585723102454e-01
2.4672500000000000e-02 5.3546569514066911e-01
2.5332100000000000e-02 4.4215961650098434e-01
2.5945500000000000e-02 3.7014795963057173e-01
2.5015500000000000e-02 4.8745811569019293e-01
2.7402300000000001e-02 2.0947925751019392e-01
2.9879599999999999e-02 6.5467146057713824e-02
3.2318800000000002e-02 2.8062309469102219e-02
3.4679900000000000e-02 1.8812754498681639e-02
3.7110499999999998e-02 1.5614600041972716e-02
3.9525400000000002e-02 1.3592985002689443e-02
4.1988699999999997e-02 9.9940477711247897e-03
4.4258899999999997e-02 7.0544808515783852e-03
4.6761100000000000e-02 5.2979477228275009e-03
4.9270200000000000e-02 4.0345720191642754e-03
5.1656300000000002e-02 2.8766773530415047e-03
5.4139600000000003e-02 2.1210187619218643e-03
5.6433499999999998e-02 1.6502614097964241e-03
5.8806499999999998e-02 1.5145760260692098e-03
6.1218799999999997e-02 1.3552267688713210e-03
6.3683100000000006e-02 1.1285511004887464e-03
6.6203200000000004e-02 8.7132845019350811e-04
6.8460900000000005e-02 7.4243452939243379e-04
7.1011599999999994e-02 5.8785706102094384e-04
7.3342299999999999e-02 5.2064538666692539e-04
7.5942899999999994e-02 4.5275451819291651e-04
7.8141000000000002e-02 4.0093462642052096e-04
8.0574199999999999e-02 3.3408470207964123e-04
8.3198599999999998e-02 2.7680639010988628e-04
8.5346300000000000e-02 2.2868273768080773e-04
8.7799600000000005e-02 1.9531745112261556e-04
9.0361800000000006e-02 1.7010049361227479e-04
9.2944100000000002e-02 1.4467837023780813e-04
9.4983499999999998e-02 1.3130270805507198e-04
9.7546200000000000e-02 1.1270519093691724e-04
1.0004100000000000e-01 9.8693223731315984e-05
9.4815899999999995e-02 1.3238136234990948e-04
1.0100700000000000e-01 9.1391905417045273e-05
1.0739400000000000e-01 6.5299681623019759e-05
1.1333600000000001e-01 4.6408092796608011e-05
1.1931799999999999e-01 3.3428131093818275e-05
1.2546599999999999e-01 2.4732976159451252e-05
1.3198399999999999e-01 1.7915769364520938e-05
1.3776099999999999e-01 1.3245132806455740e-05
1.4391200000000001e-01 8.9850589639182016e-06
1.4984100000000000e-01 6.3675651296394140e-06
1.3990200000000000e-01 1.1497525509099374e-05
1.4869299999999999e-01 6.8011409959997553e-06
1.5678600000000001e-01 4.4068752958199423e-06
1.6513800000000001e-01 2.8306532865314043e-06
1.7353499999999999e-01 1.8135746329375344e-06
1.8193300000000001e-01 1.2043194150305259e-06
1.9032800000000000e-01 8.1158572499354845e-07
1.9890099999999999e-01 5.2668527042419188e-07
2.0744000000000001e-01 3.3422927952602289e-07
2.1578600000000001e-01 2.1104297374323089e-07
2.2426499999999999e-01 1.3120448897634228e-07
2.3238000000000000e-01 8.4597090882846991e-08
2.4983300000000000e-01 3.2898338606194266e-08
2.5784699999999999e-01 2.0525742603491849e-08
2.6637699999999997e-01 1.2253250855301985e-08
2.8352899999999998e-01 4.4356451906806633e-09
3.0019600000000002e-01 1.6955850057343014e-09
