# Q(A^-1)        R
7.0027500000000003e-03 9.4926614634972539e-01
7.3906600000000003e-03 9.9096786217709643e-01
7.7812400000000000e-03 1.0000000000000000e+00
8.1511599999999993e-03 1.0000000000000000e+00
8.5398399999999999e-03 1.0000000000000000e+00
8.9393600000000004e-03 1.0000000000000000e+00
9.3229899999999997e-03 1.0000000000000000e+00
9.7184400000000001e-03 1.0000000000000000e+00
1.0105500000000000e-02 1.0000000000000000e+00
1.0491500000000001e-02 9.7969279640442797e-01
1.0871499999999999e-02 9.8239233855571362e-01
1.1268100000000000e-02 9.7411086619326681e-01
1.1639699999999999e-02 9.9816619490707625e-01
1.2046200000000000e-02 1.0000000000000000e+00
1.2425200000000001e-02 1.0000000000000000e+00
1.2825200000000000e-02 1.0000000000000000e+00
1.3200999999999999e-02 1.0000000000000000e+00
1.3609800000000000e-02 1.0000000000000000e+00
1.3965500000000000e-02 1.0000000000000000e+00
1.4386800000000000e-02 1.0000000000000000e+00
1.4728099999999999e-02 1.0000000000000000e+00
1.5146400000000001e-02 1.0000000000000000e+00
1.5531000000000000e-02 1.0000000000000000e+00
1.5898300000000001e-02 1.0000000000000000e+00
1.6289000000000001e-02 1.0000000000000000e+00
1.6684700000000000e-02 1.0000000000000000e+00
1.7083399999999999e-02 1.0000000000000000e+00
1.7480400000000000e-02 1.0000000000000000e+00
1.7882200000000001e-02 1.0000000000000000e+00
1.8244500000000000e-02 1.0000000000000000e+00
1.8613600000000001e-02 1.0000000000000000e+00
1.8988999999999999e-02 1.0000000000000000e+00
1.9413699999999999e-02 1.0000000000000000e+00
1.9769599999999998e-02 1.0000000000000000e+00
2.0226000000000001e-02 1.0000000000000000e+00
2.0559299999999999e-02 1.0000000000000000e+00
2.0957500000000000e-02 1.0000000000000000e+00
2.1372100000000002e-02 1.0000000000000000e+00
2.1720199999999999e-02 9.8557122042300349e-01
2.2137799999999999e-02 9.0190807665403405e-01
2.2505899999999999e-02 8.1048493759230256e-01
2.2933700000000001e-02 7.1251262710867780e-01
2.3251999999999998e-02 6.3334920652368820e-01
2.3674400000000002e-02 5.4674288752281130e-01
2.4103800000000002e-02 4.3657719439867726e-01
2.4435900000000000e-02 3.7243379940465876e-01
2.4844200000000000e-02 3.0770636105108617e-01
2.5227200000000002e-02 2.5520886169383056e-01
2.5627700000000000e-02 2.1895459104072301e-01
2.6021099999999998e-02 1.8423267105091021e-01
2.4964299999999998e-02 2.9108113685177589e-01
2.7418100000000001e-02 1.1451272266670039e-01
2.9842199999999999e-02 5.5660470666405878e-02
3.2208800000000003e-02 3.0980546639980764e-02
3.4664599999999997e-02 2.0271000172633287e-02
3.7086700000000000e-02 1.5271743692283072e-02
3.9506899999999998e-02 1.1901254031366930e-02
4.1930400000000000e-02 7.9583640346837618e-03
4.4434000000000001e-02 5.8740548208024556e-03
4.6780099999999998e-02 4.6162328183943172e-03
4.9239499999999999e-02 3.8032603069923024e-03
5.1662899999999998e-02 2.7944095341740573e-03
5.3967800000000003e-02 2.0959676316533926e-03
5.6349600000000000e-02 1.6517320554230691e-03
5.8889600000000000e-02 1.4963434298605625e-03
6.1291499999999999e-02 1.3273087255523497e-03
6.3722299999999996e-02 1.0486397701583779e-03
6.6112400000000002e-02 8.0580183106497029e-04
6.8487599999999996e-02 6.3285036575933809e-04
7.1096999999999994e-02 5.0083464930484624e-04
7.3340799999999998e-02 4.2582214685464500e-04
7.5754000000000002e-02 3.8010764541112659e-04
7.8140100000000004e-02 3.3831456366428727e-04
8.0584799999999998e-02 2.7885294178989109e-04
8.3207199999999995e-02 2.3274919193645634e-04
8.5531999999999997e-02 1.9730368763043555e-04
8.7962700000000005e-02 1.6791801289926591e-04
9.0301900000000004e-02 1.5301450776441893e-04
9.2649700000000001e-02 1.2809752092853802e-04
9.5232200000000003e-02 1.1086664743189676e-04
9.7588200000000000e-02 9.7590582279895476e-05
1.0002500000000000e-01 8.4316562637251050e-05
9.4872399999999996e-02 1.1523081911540543e-04
1.0104800000000000e-01 8.1529823781993017e-05
1.0727200000000001e-01 5.7262914705130387e-05
1.1323900000000001e-01 4.1978927196225041e-05
1.1942500000000000e-01 2.8602391153440589e-05
1.2558100000000000e-01 2.0710691730883480e-05
1.3171700000000000e-01 1.4599561171725454e-05
1.3752000000000000e-01 1.0502047587121088e-05
1.4420900000000000e-01 6.8924630756494029e-06
1.5022099999999999e-01 4.8465714662626623e-06
1.3980200000000001e-01 9.1134899682495047e-06
1.4835499999999999e-01 5.3280250074562927e-06
1.5711500000000000e-01 3.2588138664652927e-06
1.6561000000000001e-01 2.1032150348929982e-06
1.7360200000000001e-01 1.3668976840245414e-06
1.8206200000000000e-01 8.7678133324179197e-07
2.3259400000000000e-01 5.0792061586577170e-08
2.4954599999999999e-01 1.9230994520711744e-08
2.5782400000000000e-01 1.1146649351308961e-08
2.6618500000000000e-01 6.6712409222162859e-09
2.7427299999999999e-01 3.8922864930666339e-09
3.0001400000000000e-01 7.5600520288432449e-10
