#  Q(A^-1)        R           dR         dQ(A^-1)    
7.01012e-03  9.99000e-01  1.39589e-02  7.01012e-04  
7.37929e-03  1.00349e+00  1.39589e-02  7.37929e-04  
7.76962e-03  1.00583e+00  1.39589e-02  7.76962e-04  
8.17454e-03  1.02776e+00  1.39589e-02  8.17454e-04  
8.53563e-03  1.02045e+00  1.39589e-02  8.53563e-04  
8.93190e-03  1.00387e+00  1.39589e-02  8.93190e-04  
9.34100e-03  9.95908e-01  1.39589e-02  9.34100e-04  
9.71592e-03  1.00049e+00  1.39589e-02  9.71592e-04  
1.00996e-02  1.01357e+00  1.39589e-02  1.00996e-03  
1.04809e-02  1.01192e+00  1.39589e-02  1.04809e-03  
1.08904e-02  9.97332e-01  1.39589e-02  1.08904e-03  
1.12505e-02  1.00212e+00  1.39589e-02  1.12505e-03  
1.16403e-02  1.00126e+00  1.39589e-02  1.16403e-03  
1.20713e-02  9.98611e-01  1.39589e-02  1.20713e-03  
1.24427e-02  9.85695e-01  1.39589e-02  1.24427e-03  
1.28300e-02  1.01731e+00  1.39589e-02  1.28300e-03  
1.32025e-02  1.00287e+00  1.39589e-02  1.32025e-03  
1.35881e-02  9.90657e-01  1.39589e-02  1.35881e-03  
1.39742e-02  1.00857e+00  1.39589e-02  1.39742e-03  
1.43651e-02  1.02974e+00  1.39589e-02  1.43651e-03  
1.47571e-02  9.97329e-01  1.39589e-02  1.47571e-03  
1.51594e-02  1.00570e+00  1.39589e-02  1.51594e-03  
1.55572e-02  1.01245e+00  1.39589e-02  1.55572e-03  
1.59290e-02  9.98094e-01  1.39589e-02  1.59290e-03  
1.63264e-02  1.00097e+00  1.39589e-02  1.63264e-03  
1.67003e-02  9.77951e-01  1.39589e-02  1.67003e-03  
1.70859e-02  9.88370e-01  1.39589e-02  1.70859e-03  
1.74943e-02  9.82709e-01  1.39589e-02  1.74943e-03  
1.78669e-02  9.97723e-01  1.39569e-02  1.78669e-03  
1.82524e-02  9.73987e-01  1.39416e-02  1.82524e-03  
1.86031e-02  9.74192e-01  1.38896e-02  1.86031e-03  
1.89933e-02  9.70677e-01  1.36930e-02  1.89933e-03  
1.93969e-02  9.07957e-01  1.31561e-02  1.93969e-03  
1.97894e-02  7.49642e-01  1.21410e-02  1.97894e-03  
2.02003e-02  5.54956e-01  1.04330e-02  2.02003e-03  
2.05887e-02  3.71678e-01  8.54367e-03  2.05887e-03  
2.09500e-02  2.85001e-01  7.41786e-03  2.09500e-03  
2.13534e-02  1.43883e-01  5.37122e-03  2.13534e-03  
2.17404e-02  6.19990e-02  3.53450e-03  2.17404e-03  
2.21112e-02  3.47552e-02  2.60692e-03  2.21112e-03  
2.25084e-02  1.13836e-02  1.60891e-03  2.25084e-03  
2.28714e-02  2.33455e-03  9.15529e-04  2.28714e-03  
2.33101e-02  1.36643e-03  6.11177e-04  2.33101e-03  
2.37441e-02  3.45774e-04  1.95752e-04  2.37441e-03  
2.40347e-02  7.06433e-05  1.17808e-04  2.40347e-03  
2.44297e-02  2.99686e-05  9.93957e-05  2.44297e-03  
2.52574e-02  7.55177e-05  8.69369e-05  2.52574e-03  
2.56250e-02  3.53334e-05  8.40390e-05  2.56250e-03  
2.60116e-02  9.20163e-05  8.14264e-05  2.60116e-03  
2.50047e-02  2.53858e-05  6.44505e-06  2.50047e-03  
2.74407e-02  3.04822e-05  5.44735e-06  2.74407e-03  
2.98725e-02  1.91328e-05  4.74457e-06  2.98725e-03  
3.22897e-02  1.05272e-05  4.19333e-06  3.22897e-03  
3.46781e-02  1.57463e-05  3.75707e-06  3.46781e-03  
3.70955e-02  1.17768e-05  3.39789e-06  3.70955e-03  
3.95137e-02  4.12764e-06  3.10212e-06  3.95137e-03  
4.19940e-02  7.01331e-06  2.85002e-06  4.19940e-03  
4.42531e-02  4.97141e-06  2.65626e-06  4.42531e-03  
4.67054e-02  6.89112e-08  2.47675e-06  4.67054e-03  
5.16367e-02  1.30431e-06  2.19012e-06  5.16367e-03  
5.40232e-02  2.43350e-07  2.07871e-06  5.40232e-03  
5.63724e-02  2.55292e-06  1.98259e-06  5.63724e-03  
5.88814e-02  8.67508e-08  1.89242e-06  5.88814e-03  
6.12850e-02  1.07779e-06  1.81625e-06  6.12850e-03  
7.09608e-02  8.39523e-07  1.58439e-06  7.09608e-03  
7.58042e-02  5.39946e-07  1.50054e-06  7.58042e-03  
8.07500e-02  7.13261e-07  1.43025e-06  8.07500e-03  
8.30238e-02  1.82709e-06  1.40215e-06  8.30238e-03  
8.55656e-02  1.87240e-07  1.37342e-06  8.55656e-03  
8.79442e-02  1.59092e-07  1.34882e-06  8.79442e-03  
9.27533e-02  9.45114e-07  1.30492e-06  9.27533e-03  
9.52008e-02  1.87327e-06  1.28518e-06  9.52008e-03  
9.49794e-02  8.74895e-07  1.12831e-06  9.49794e-03  
1.13300e-01  1.46427e-06  1.07972e-06  1.13300e-02  
1.31755e-01  2.82774e-07  1.05096e-06  1.31755e-02  
1.43810e-01  6.06849e-07  1.03844e-06  1.43810e-02  
1.82290e-01  1.14600e-06  1.00438e-06  1.82290e-02  
1.90664e-01  1.91412e-07  1.00362e-06  1.90664e-02  
2.58249e-01  1.50397e-06  1.00075e-06  2.58249e-02  
2.82778e-01  6.55713e-07  1.00041e-06  2.82778e-02  
2.99677e-01  7.21149e-07  1.00027e-06  2.99677e-02  
