#  Q(A^-1)        R           dR         dQ(A^-1)    
6.99313e-03  1.01967e+00  1.42667e-02  6.99313e-04  
7.38880e-03  1.01268e+00  1.42667e-02  7.38880e-04  
7.78230e-03  1.00554e+00  1.42667e-02  7.78230e-04  
8.17296e-03  1.01351e+00  1.42667e-02  8.17296e-04  
8.55050e-03  9.76042e-01  1.42667e-02  8.55050e-04  
8.94853e-03  1.01799e+00  1.42667e-02  8.94853e-04  
9.34356e-03  1.00198e+00  1.42667e-02  9.34356e-04  
9.71655e-03  9.97974e-01  1.42667e-02  9.71655e-04  
1.00882e-02  1.00174e+00  1.42667e-02  1.00882e-03  
1.04850e-02  1.01574e+00  1.42667e-02  1.04850e-03  
1.08616e-02  9.74298e-01  1.42667e-02  1.08616e-03  
1.12401e-02  9.96393e-01  1.42667e-02  1.12401e-03  
1.16581e-02  9.87443e-01  1.42667e-02  1.16581e-03  
1.20453e-02  1.00626e+00  1.42667e-02  1.20453e-03  
1.24331e-02  1.02093e+00  1.42667e-02  1.24331e-03  
1.28175e-02  9.96113e-01  1.42667e-02  1.28175e-03  
1.32100e-02  1.01116e+00  1.42667e-02  1.32100e-03  
1.35772e-02  9.89772e-01  1.42667e-02  1.35772e-03  
1.39745e-02  1.02016e+00  1.42667e-02  1.39745e-03  
1.43552e-02  1.00431e+00  1.42667e-02  1.43552e-03  
1.47672e-02  9.84450e-01  1.42667e-02  1.47672e-03  
1.51314e-02  9.86310e-01  1.42667e-02  1.51314e-03  
1.55598e-02  1.01210e+00  1.42667e-02  1.55598e-03  
1.59277e-02  9.89453e-01  1.42667e-02  1.59277e-03  
1.63265e-02  1.00627e+00  1.42584e-02  1.63265e-03  
1.66961e-02  9.94233e-01  1.42226e-02  1.66961e-03  
1.70834e-02  9.77860e-01  1.40992e-02  1.70834e-03  
1.74757e-02  9.29938e-01  1.37481e-02  1.74757e-03  
1.78717e-02  8.19074e-01  1.29454e-02  1.78717e-03  
1.82837e-02  6.51803e-01  1.15554e-02  1.82837e-03  
1.86292e-02  5.07288e-01  9.98641e-03  1.86292e-03  
1.90143e-02  3.19613e-01  8.12987e-03  1.90143e-03  
1.93700e-02  2.11586e-01  6.64689e-03  1.93700e-03  
1.97738e-02  1.44991e-01  5.51341e-03  1.97738e-03  
2.01575e-02  1.31096e-01  5.14353e-03  2.01575e-03  
2.05768e-02  1.22074e-01  4.67223e-03  2.05768e-03  
2.09740e-02  9.97687e-02  4.45452e-03  2.09740e-03  
2.13331e-02  8.40000e-02  4.32010e-03  2.13331e-03  
2.17234e-02  8.32024e-02  4.15497e-03  2.17234e-03  
2.21629e-02  7.65301e-02  3.96378e-03  2.21629e-03  
2.25308e-02  6.44301e-02  3.79064e-03  2.25308e-03  
2.28963e-02  6.87039e-02  3.61118e-03  2.28963e-03  
2.32311e-02  5.47711e-02  3.44355e-03  2.32311e-03  
2.36959e-02  4.44883e-02  3.20959e-03  2.36959e-03  
2.40491e-02  4.88490e-02  3.03516e-03  2.40491e-03  
2.44612e-02  3.97620e-02  2.83908e-03  2.44612e-03  
2.48057e-02  3.13762e-02  2.68169e-03  2.48057e-03  
2.51904e-02  2.96785e-02  2.51480e-03  2.51904e-03  
2.56285e-02  2.96593e-02  2.34139e-03  2.56285e-03  
2.59916e-02  2.15970e-02  2.20983e-03  2.59916e-03  
2.50029e-02  3.30029e-02  1.60653e-04  2.50029e-03  
2.74004e-02  1.61857e-02  1.12751e-04  2.74004e-03  
2.99014e-02  1.08003e-02  9.27621e-05  2.99014e-03  
3.22551e-02  8.80111e-03  8.32039e-05  3.22551e-03  
3.46952e-02  6.31121e-03  7.12399e-05  3.46952e-03  
3.70671e-02  4.29397e-03  5.83972e-05  3.70671e-03  
3.95230e-02  2.86314e-03  4.81315e-05  3.95230e-03  
4.18965e-02  2.24470e-03  4.27406e-05  4.18965e-03  
4.42749e-02  1.96049e-03  3.96157e-05  4.42749e-03  
4.67086e-02  1.63400e-03  3.61742e-05  4.67086e-03  
4.91865e-02  1.19883e-03  3.18678e-05  4.91865e-03  
5.16519e-02  9.38676e-04  2.77995e-05  5.16519e-03  
5.39659e-02  7.44221e-04  2.50697e-05  5.39659e-03  
5.64473e-02  6.94992e-04  2.32527e-05  5.64473e-03  
5.88243e-02  5.22320e-04  2.18411e-05  5.88243e-03  
6.12969e-02  4.60605e-04  2.01685e-05  6.12969e-03  
6.38374e-02  3.88149e-04  1.82927e-05  6.38374e-03  
6.61566e-02  3.11037e-04  1.67716e-05  6.61566e-03  
6.86004e-02  2.93527e-04  1.55696e-05  6.86004e-03  
7.10059e-02  2.44061e-04  1.46852e-05  7.10059e-03  
7.34181e-02  2.13959e-04  1.38682e-05  7.34181e-03  
7.58301e-02  1.81215e-04  1.30041e-05  7.58301e-03  
7.81854e-02  1.63007e-04  1.21549e-05  7.81854e-03  
8.07068e-02  1.34909e-04  1.13466e-05  8.07068e-03  
8.31295e-02  1.27933e-04  1.07120e-05  8.31295e-03  
8.54948e-02  1.15012e-04  1.01876e-05  8.54948e-03  
