#  Q(A^-1)        R           dR         dQ(A^-1)    
7.01194e-03  9.76526e-01  1.29750e-02  7.01194e-04  
7.37793e-03  9.88821e-01  1.29750e-02  7.37793e-04  
7.78502e-03  9.97451e-01  1.29750e-02  7.78502e-04  
8.17032e-03  1.00766e+00  1.29750e-02  8.17032e-04  
8.55425e-03  1.00677e+00  1.29750e-02  8.55425e-04  
8.93433e-03  9.95738e-01  1.29750e-02  8.93433e-04  
9.31525e-03  9.88206e-01  1.29750e-02  9.31525e-04  
9.70456e-03  9.90371e-01  1.29750e-02  9.70456e-04  
1.01111e-02  9.89327e-01  1.29750e-02  1.01111e-03  
1.04879e-02  1.02094e+00  1.29750e-02  1.04879e-03  
1.08882e-02  9.98719e-01  1.29750e-02  1.08882e-03  
1.12619e-02  9.92230e-01  1.29750e-02  1.12619e-03  
1.16551e-02  9.96264e-01  1.29750e-02  1.16551e-03  
1.20566e-02  1.02178e+00  1.29750e-02  1.20566e-03  
1.24203e-02  1.00271e+00  1.29750e-02  1.24203e-03  
1.27896e-02  1.01468e+00  1.29750e-02  1.27896e-03  
1.31965e-02  1.01980e+00  1.29750e-02  1.31965e-03  
1.36042e-02  9.93927e-01  1.29750e-02  1.36042e-03  
1.39743e-02  9.95943e-01  1.29750e-02  1.39743e-03  
1.43391e-02  1.01004e+00  1.29750e-02  1.43391e-03  
1.47157e-02  9.91279e-01  1.29750e-02  1.47157e-03  
1.51662e-02  9.81750e-01  1.29750e-02  1.51662e-03  
1.55518e-02  9.86793e-01  1.29750e-02  1.55518e-03  
1.59325e-02  1.00058e+00  1.29750e-02  1.59325e-03  
1.63088e-02  1.01497e+00  1.29704e-02  1.63088e-03  
1.67155e-02  9.83856e-01  1.29429e-02  1.67155e-03  
1.70913e-02  9.73856e-01  1.28040e-02  1.70913e-03  
1.74561e-02  9.20174e-01  1.24746e-02  1.74561e-03  
1.78644e-02  7.99735e-01  1.17261e-02  1.78644e-03  
1.82515e-02  6.73771e-01  1.06775e-02  1.82515e-03  
1.86349e-02  5.44319e-01  9.51715e-03  1.86349e-03  
1.90248e-02  3.61127e-01  7.84568e-03  1.90248e-03  
1.93994e-02  2.29597e-01  6.28107e-03  1.93994e-03  
1.98278e-02  1.34812e-01  4.75626e-03  1.98278e-03  
2.01717e-02  9.05242e-02  3.91883e-03  2.01717e-03  
2.06048e-02  6.03029e-02  3.23913e-03  2.06048e-03  
2.09538e-02  4.87079e-02  2.90115e-03  2.09538e-03  
2.13394e-02  3.69700e-02  2.72507e-03  2.13394e-03  
2.17411e-02  3.78376e-02  2.64616e-03  2.17411e-03  
2.21133e-02  3.85968e-02  2.59332e-03  2.21133e-03  
2.25090e-02  3.48210e-02  2.52835e-03  2.25090e-03  
2.28698e-02  3.23495e-02  2.45074e-03  2.28698e-03  
2.32793e-02  3.38158e-02  2.34436e-03  2.32793e-03  
2.36260e-02  2.66642e-02  2.24470e-03  2.36260e-03  
2.40642e-02  2.54621e-02  2.11384e-03  2.40642e-03  
2.44227e-02  2.35187e-02  2.00935e-03  2.44227e-03  
2.48142e-02  2.18249e-02  1.90191e-03  2.48142e-03  
2.52596e-02  1.78515e-02  1.79154e-03  2.52596e-03  
2.55886e-02  1.77659e-02  1.72003e-03  2.55886e-03  
2.59820e-02  1.56062e-02  1.64445e-03  2.59820e-03  
2.50198e-02  2.01936e-02  1.14762e-04  2.50198e-03  
2.73911e-02  1.24261e-02  8.94478e-05  2.73911e-03  
2.98297e-02  8.27807e-03  7.34099e-05  2.98297e-03  
3.22147e-02  5.68253e-03  6.10833e-05  3.22147e-03  
3.46028e-02  3.98645e-03  5.18541e-05  3.46028e-03  
3.70639e-02  2.90918e-03  4.44912e-05  3.70639e-03  
3.94913e-02  2.27060e-03  3.87087e-05  3.94913e-03  
4.19615e-02  1.73384e-03  3.39507e-05  4.19615e-03  
4.43469e-02  1.33993e-03  3.01743e-05  4.43469e-03  
4.68204e-02  1.03413e-03  2.69104e-05  4.68204e-03  
4.91927e-02  8.68806e-04  2.42695e-05  4.91927e-03  
5.17190e-02  6.57048e-04  2.18781e-05  5.17190e-03  
5.39519e-02  5.86732e-04  2.00566e-05  5.39519e-03  
5.64572e-02  4.70065e-04  1.82819e-05  5.64572e-03  
5.89627e-02  3.94613e-04  1.67407e-05  5.89627e-03  
6.12599e-02  3.45629e-04  1.54999e-05  6.12599e-03  
6.36470e-02  2.58631e-04  1.43569e-05  6.36470e-03  
6.60334e-02  2.35081e-04  1.33416e-05  6.60334e-03  
6.85293e-02  2.26923e-04  1.23958e-05  6.85293e-03  
7.08242e-02  1.73348e-04  1.16166e-05  7.08242e-03  
7.32659e-02  1.43409e-04  1.08695e-05  7.32659e-03  
7.56007e-02  1.19115e-04  1.02242e-05  7.56007e-03  
7.81484e-02  1.30435e-04  9.58698e-06  7.81484e-03  
8.06535e-02  9.47718e-05  9.02051e-06  8.06535e-03  
8.30525e-02  7.81974e-05  8.52666e-06  8.30525e-03  
8.54354e-02  6.30801e-05  8.07789e-06  8.54354e-03  
8.79474e-02  5.96379e-05  7.64480e-06  8.79474e-03  
9.04710e-02  5.60935e-05  7.24653e-06  9.04710e-03  
9.27256e-02  5.75485e-05  6.91855e-06  9.27256e-03  
9.51616e-02  6.08629e-05  6.59066e-06  9.51616e-03  
9.75869e-02  4.90767e-05  6.28892e-06  9.75869e-03  
9.99584e-02  3.78048e-05  6.01535e-06  9.99584e-03  
9.49940e-02  4.45428e-05  3.50996e-06  9.49940e-03  
1.01081e-01  3.71961e-05  3.18807e-06  1.01081e-02  
1.07410e-01  2.83361e-05  2.91097e-06  1.07410e-02  
1.13478e-01  2.73352e-05  2.68856e-06  1.13478e-02  
1.19514e-01  1.56957e-05  2.50075e-06  1.19514e-02  
1.25470e-01  1.25258e-05  2.34192e-06  1.25470e-02  
1.31426e-01  1.07026e-05  2.20470e-06  1.31426e-02  
1.37784e-01  1.07392e-05  2.07786e-06  1.37784e-02  
1.44081e-01  6.23291e-06  1.96884e-06  1.44081e-02  
1.49820e-01  7.14553e-06  1.88154e-06  1.49820e-02  
1.40308e-01  1.06236e-05  1.28272e-06  1.40308e-02  
1.48501e-01  3.19123e-06  1.24666e-06  1.48501e-02  
1.56945e-01  3.57141e-06  1.21542e-06  1.56945e-02  
1.65332e-01  3.35426e-06  1.18916e-06  1.65332e-02  
1.73617e-01  2.85896e-06  1.16701e-06  1.73617e-02  
1.82037e-01  1.18579e-06  1.14766e-06  1.82037e-02  
1.90378e-01  1.96595e-06  1.13109e-06  1.90378e-02  
1.98999e-01  7.26368e-07  1.11624e-06  1.98999e-02  
2.07778e-01  3.97954e-06  1.10309e-06  2.07778e-02  
2.15885e-01  4.33751e-07  1.09246e-06  2.15885e-02  
2.32679e-01  9.55238e-07  1.07416e-06  2.32679e-02  
2.41248e-01  8.77215e-07  1.06641e-06  2.41248e-02  
2.49680e-01  3.47064e-06  1.05964e-06  2.49680e-02  
2.57779e-01  8.98651e-07  1.05385e-06  2.57779e-02  
2.66490e-01  6.34775e-07  1.04828e-06  2.66490e-02  
2.83137e-01  1.90096e-06  1.03927e-06  2.83137e-02  
2.99794e-01  6.16041e-07  1.03200e-06  2.99794e-02  
