#  Q(A^-1)        R           dR         dQ(A^-1)    
6.99188e-03  1.00727e+00  1.06189e-02  6.99188e-04  
8.01174e-03  1.00415e+00  1.06189e-02  8.01174e-04  
9.00410e-03  9.92443e-01  1.06189e-02  9.00410e-04  
1.00072e-02  9.82750e-01  1.06189e-02  1.00072e-03  
1.09780e-02  1.00566e+00  1.06189e-02  1.09780e-03  
1.20186e-02  1.00662e+00  1.06189e-02  1.20186e-03  
1.29867e-02  1.01160e+00  1.06189e-02  1.29867e-03  
1.40065e-02  1.00502e+00  1.06189e-02  1.40065e-03  
1.49968e-02  9.88247e-01  1.06189e-02  1.49968e-03  
1.60076e-02  1.00029e+00  1.06189e-02  1.60076e-03  
1.69914e-02  1.00144e+00  1.06189e-02  1.69914e-03  
1.80243e-02  9.96823e-01  1.06178e-02  1.80243e-03  
1.89917e-02  1.00302e+00  1.05449e-02  1.89917e-03  
1.99989e-02  8.73012e-01  9.87054e-03  1.99989e-03  
2.10302e-02  6.23091e-01  8.31949e-03  2.10302e-03  
2.19855e-02  4.10640e-01  6.80889e-03  2.19855e-03  
2.29947e-02  2.87710e-01  5.68674e-03  2.29947e-03  
2.40083e-02  2.15612e-01  4.95604e-03  2.40083e-03  
2.50295e-02  1.74190e-01  4.41181e-03  2.50295e-03  
2.59912e-02  1.44599e-01  3.99402e-03  2.59912e-03  
2.50029e-02  1.73059e-01  2.73235e-04  2.50029e-03  
2.74223e-02  1.07405e-01  2.15367e-04  2.74223e-03  
2.98187e-02  7.04167e-02  1.74645e-04  2.98187e-03  
3.22332e-02  4.73053e-02  1.43154e-04  3.22332e-03  
3.46584e-02  3.18523e-02  1.17900e-04  3.46584e-03  
3.70812e-02  2.16057e-02  9.72784e-05  3.70812e-03  
3.94826e-02  1.47795e-02  8.03370e-05  3.94826e-03  
4.19570e-02  9.87597e-03  6.58062e-05  4.19570e-03  
4.43289e-02  6.67698e-03  5.42287e-05  4.43289e-03  
4.68467e-02  4.33365e-03  4.41104e-05  4.68467e-03  
4.92122e-02  2.95540e-03  3.64184e-05  4.92122e-03  
5.15593e-02  2.00591e-03  3.03780e-05  5.15593e-03  
5.40607e-02  1.37587e-03  2.55580e-05  5.40607e-03  
5.64141e-02  1.03720e-03  2.23942e-05  5.64141e-03  
5.88552e-02  9.33655e-04  2.03043e-05  5.88552e-03  
6.12923e-02  7.60029e-04  1.91315e-05  6.12923e-03  
6.36516e-02  7.10026e-04  1.85553e-05  6.36516e-03  
6.61790e-02  7.09245e-04  1.82450e-05  6.61790e-03  
6.84603e-02  6.77989e-04  1.80453e-05  6.84603e-03  
7.09532e-02  6.57580e-04  1.77800e-05  7.09532e-03  
7.33761e-02  6.38774e-04  1.74037e-05  7.33761e-03  
7.57091e-02  6.30031e-04  1.69027e-05  7.57091e-03  
7.82955e-02  5.25973e-04  1.61841e-05  7.82955e-03  
8.06304e-02  5.02533e-04  1.54002e-05  8.06304e-03  
8.30775e-02  4.42113e-04  1.44627e-05  8.30775e-03  
8.55599e-02  3.68647e-04  1.34184e-05  8.55599e-03  
8.80040e-02  2.94609e-04  1.23293e-05  8.80040e-03  
9.01916e-02  2.53626e-04  1.13297e-05  9.01916e-03  
9.26979e-02  1.85807e-04  1.01863e-05  9.26979e-03  
9.52347e-02  1.50456e-04  9.06542e-06  9.52347e-03  
9.74344e-02  1.13713e-04  8.15179e-06  9.74344e-03  
1.00106e-01  9.02529e-05  7.15115e-06  1.00106e-02  
9.51209e-02  1.49443e-04  4.62888e-06  9.51209e-03  
1.00970e-01  7.51671e-05  3.62056e-06  1.00970e-02  
1.07290e-01  3.98292e-05  2.94662e-06  1.07290e-02  
1.13221e-01  3.61480e-05  2.77798e-06  1.13221e-02  
1.19352e-01  3.74420e-05  2.84291e-06  1.19352e-02  
1.25401e-01  4.64698e-05  2.88264e-06  1.25401e-02  
1.31680e-01  4.06119e-05  2.78852e-06  1.31680e-02  
1.37717e-01  2.62806e-05  2.56862e-06  1.37717e-02  
1.43969e-01  1.79600e-05  2.25542e-06  1.43969e-02  
1.50196e-01  8.98208e-06  1.92641e-06  1.50196e-02  
1.39905e-01  2.50584e-05  1.40140e-06  1.39905e-02  
1.48406e-01  1.25717e-05  1.27882e-06  1.48406e-02  
1.56889e-01  4.49581e-06  1.17804e-06  1.56889e-02  
1.65267e-01  5.00977e-06  1.15045e-06  1.65267e-02  
1.73760e-01  6.28962e-06  1.16795e-06  1.73760e-02  
1.82223e-01  5.06722e-06  1.17209e-06  1.82223e-02  
1.90997e-01  4.56360e-06  1.14830e-06  1.90997e-02  
1.99113e-01  1.48845e-06  1.11005e-06  1.99113e-02  
2.07142e-01  1.92905e-06  1.07282e-06  2.07142e-02  
2.15629e-01  1.86704e-06  1.05501e-06  2.15629e-02  
2.24230e-01  1.39052e-06  1.06085e-06  2.24230e-02  
2.40801e-01  1.84401e-06  1.06233e-06  2.40801e-02  
2.49259e-01  4.71662e-07  1.05049e-06  2.49259e-02  
2.58547e-01  7.60894e-08  1.03554e-06  2.58547e-02  
2.66665e-01  3.47593e-07  1.02809e-06  2.66665e-02  
2.83064e-01  3.82651e-07  1.02982e-06  2.83064e-02  
2.91643e-01  1.25671e-06  1.02934e-06  2.91643e-02  
2.99791e-01  1.07875e-08  1.02633e-06  2.99791e-02  
