#  Q(A^-1)        R           dR         dQ(A^-1)    
6.99233e-03  1.00069e+00  1.42819e-02  6.99233e-04  
7.27731e-03  9.97975e-01  1.42819e-02  7.27731e-04  
7.54629e-03  9.99708e-01  1.42819e-02  7.54629e-04  
7.81534e-03  1.00549e+00  1.42819e-02  7.81534e-04  
8.11346e-03  9.75100e-01  1.42686e-02  8.11346e-04  
8.38305e-03  9.80427e-01  1.41519e-02  8.38305e-04  
8.65906e-03  9.28590e-01  1.36330e-02  8.65906e-04  
8.92470e-03  7.45354e-01  1.23647e-02  8.92470e-04  
9.20715e-03  4.88953e-01  1.00572e-02  9.20715e-04  
9.48058e-03  2.58235e-01  7.25716e-03  9.48058e-04  
9.74127e-03  1.09022e-01  4.75446e-03  9.74127e-04  
1.00373e-02  4.21456e-02  2.90892e-03  1.00373e-03  
1.03193e-02  1.12021e-02  1.48554e-03  1.03193e-03  
1.05816e-02  4.37560e-03  8.55359e-04  1.05816e-03  
1.08522e-02  1.41881e-03  6.00561e-04  1.08522e-03  
1.11342e-02  1.35625e-03  6.06336e-04  1.11342e-03  
1.13943e-02  2.49060e-03  6.70600e-04  1.13943e-03  
1.16669e-02  2.68424e-03  7.31723e-04  1.16669e-03  
1.19897e-02  3.25656e-03  7.78895e-04  1.19897e-03  
1.22547e-02  3.34186e-03  7.95390e-04  1.22547e-03  
1.24751e-02  2.47547e-03  7.97536e-04  1.24751e-03  
1.27929e-02  3.17184e-03  7.85791e-04  1.27929e-03  
1.30575e-02  2.17595e-03  7.66847e-04  1.30575e-03  
1.33391e-02  2.49214e-03  7.40634e-04  1.33391e-03  
1.36135e-02  3.27209e-03  7.11754e-04  1.36135e-03  
1.38880e-02  2.08244e-03  6.81522e-04  1.38880e-03  
1.41437e-02  2.21469e-03  6.53447e-04  1.41437e-03  
1.44441e-02  2.47741e-03  6.21838e-04  1.44441e-03  
1.47151e-02  1.81480e-03  5.95280e-04  1.47151e-03  
1.49640e-02  9.28418e-04  5.72681e-04  1.49640e-03  
1.52281e-02  2.25564e-03  5.50449e-04  1.52281e-03  
1.55589e-02  1.78793e-03  5.25109e-04  1.55589e-03  
1.58035e-02  1.09338e-03  5.08158e-04  1.58035e-03  
1.60814e-02  1.60435e-03  4.90374e-04  1.60814e-03  
1.63508e-02  1.04589e-03  4.74456e-04  1.63508e-03  
1.66279e-02  5.31943e-04  4.59245e-04  1.66279e-03  
1.68866e-02  1.08850e-03  4.45897e-04  1.68866e-03  
