#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00052e-03  7.91738e-02  4.61586e-03  7.00052e-04  
7.39119e-03  7.87209e-02  4.34976e-03  7.39119e-04  
7.77641e-03  6.66961e-02  4.10281e-03  7.77641e-04  
8.15678e-03  6.27773e-02  3.87291e-03  8.15678e-04  
8.55511e-03  6.09847e-02  3.64938e-03  8.55511e-04  
8.94186e-03  4.43495e-02  3.44490e-03  8.94186e-04  
9.31246e-03  3.87482e-02  3.25934e-03  9.31246e-04  
9.72693e-03  3.51309e-02  3.06472e-03  9.72693e-04  
1.01051e-02  3.67247e-02  2.89861e-03  1.01051e-03  
1.04923e-02  3.02481e-02  2.73778e-03  1.04923e-03  
1.08744e-02  2.73437e-02  2.58831e-03  1.08744e-03  
1.12821e-02  2.15678e-02  2.44140e-03  1.12821e-03  
1.16408e-02  2.36818e-02  2.31992e-03  1.16408e-03  
1.20560e-02  1.83913e-02  2.18825e-03  1.20560e-03  
1.24166e-02  1.57292e-02  2.08381e-03  1.24166e-03  
1.28099e-02  1.26308e-02  1.97836e-03  1.28099e-03  
1.32151e-02  1.22676e-02  1.87791e-03  1.32151e-03  
1.35770e-02  1.15639e-02  1.79575e-03  1.35770e-03  
1.39560e-02  1.23391e-02  1.71745e-03  1.39560e-03  
1.43584e-02  9.99103e-03  1.64095e-03  1.43584e-03  
1.47598e-02  1.01534e-02  1.57081e-03  1.47598e-03  
1.51638e-02  8.78726e-03  1.50716e-03  1.51638e-03  
1.55550e-02  8.73830e-03  1.44993e-03  1.55550e-03  
1.59080e-02  6.35177e-03  1.40170e-03  1.59080e-03  
1.63215e-02  5.50798e-03  1.34908e-03  1.63215e-03  
1.66858e-02  5.91225e-03  1.30538e-03  1.66858e-03  
1.70616e-02  6.92680e-03  1.26230e-03  1.70616e-03  
1.74756e-02  4.56791e-03  1.21680e-03  1.74756e-03  
1.78498e-02  4.06159e-03  1.17736e-03  1.78498e-03  
1.82413e-02  5.16817e-03  1.13721e-03  1.82413e-03  
1.86663e-02  4.66925e-03  1.09476e-03  1.86663e-03  
1.90109e-02  6.67893e-03  1.06133e-03  1.90109e-03  
1.94192e-02  6.41301e-03  1.02265e-03  1.94192e-03  
1.97993e-02  4.20562e-03  9.87458e-04  1.97993e-03  
2.01960e-02  3.32210e-03  9.51911e-04  2.01960e-03  
2.05677e-02  3.31349e-03  9.19693e-04  2.05677e-03  
2.09730e-02  4.51463e-03  8.85698e-04  2.09730e-03  
2.13067e-02  2.81141e-03  8.58774e-04  2.13067e-03  
2.17132e-02  2.36795e-03  8.27551e-04  2.17132e-03  
2.21197e-02  3.01809e-03  7.97877e-04  2.21197e-03  
2.25295e-02  3.47698e-03  7.69470e-04  2.25295e-03  
2.29057e-02  3.11076e-03  7.45183e-04  2.29057e-03  
2.32962e-02  1.71460e-03  7.21376e-04  2.32962e-03  
2.37221e-02  2.00386e-03  6.96912e-04  2.37221e-03  
2.40056e-02  1.58872e-04  6.81681e-04  2.40056e-03  
2.44263e-02  1.94640e-03  6.60390e-04  2.44263e-03  
2.47851e-02  1.34186e-03  6.43254e-04  2.47851e-03  
2.52372e-02  2.22984e-03  6.22832e-04  2.52372e-03  
2.55935e-02  1.57994e-03  6.07725e-04  2.55935e-03  
2.59945e-02  3.83526e-04  5.91469e-04  2.59945e-03  
2.49892e-02  1.58408e-03  3.99507e-05  2.49892e-03  
2.73937e-02  1.12587e-03  3.41447e-05  2.73937e-03  
2.98276e-02  7.68591e-04  2.92977e-05  2.98276e-03  
3.22612e-02  6.18241e-04  2.52676e-05  3.22612e-03  
3.46487e-02  4.53023e-04  2.21521e-05  3.46487e-03  
3.71024e-02  4.00794e-04  1.95774e-05  3.71024e-03  
3.94813e-02  2.59074e-04  1.74748e-05  3.94813e-03  
4.19262e-02  2.44057e-04  1.56464e-05  4.19262e-03  
4.43199e-02  1.73445e-04  1.41410e-05  4.43199e-03  
4.67706e-02  1.40452e-04  1.28287e-05  4.67706e-03  
4.92852e-02  1.37886e-04  1.16722e-05  4.92852e-03  
5.15841e-02  9.53252e-05  1.07543e-05  5.15841e-03  
5.40584e-02  7.71978e-05  9.89221e-06  5.40584e-03  
5.63858e-02  8.93198e-05  9.18024e-06  5.63858e-03  
5.89165e-02  5.33811e-05  8.49787e-06  5.89165e-03  
6.12287e-02  5.04584e-05  7.94547e-06  6.12287e-03  
6.36675e-02  4.08259e-05  7.42567e-06  6.36675e-03  
6.62631e-02  3.31150e-05  6.93322e-06  6.62631e-03  
6.86053e-02  2.62595e-05  6.53521e-06  6.86053e-03  
7.09237e-02  2.10549e-05  6.17896e-06  7.09237e-03  
7.33299e-02  2.79026e-05  5.84385e-06  7.33299e-03  
7.58316e-02  1.73205e-05  5.52836e-06  7.58316e-03  
7.83468e-02  1.92053e-05  5.24076e-06  7.83468e-03  
8.06956e-02  8.33902e-06  4.99584e-06  8.06956e-03  
8.30882e-02  2.57557e-05  4.76716e-06  8.30882e-03  
8.55075e-02  1.74961e-05  4.55499e-06  8.55075e-03  
8.77632e-02  6.74656e-06  4.37260e-06  8.77632e-03  
9.03074e-02  6.11974e-06  4.18296e-06  9.03074e-03  
9.27508e-02  1.39448e-05  4.01517e-06  9.27508e-03  
9.51822e-02  1.19944e-05  3.86077e-06  9.51822e-03  
9.74465e-02  1.06609e-05  3.72722e-06  9.74465e-03  
1.00159e-01  5.28291e-06  3.57890e-06  1.00159e-02  
9.50872e-02  7.56505e-06  2.28199e-06  9.50872e-03  
1.01092e-01  8.38275e-06  2.13170e-06  1.01092e-02  
1.07224e-01  4.73750e-06  2.00341e-06  1.07224e-02  
1.13300e-01  5.79093e-06  1.89616e-06  1.13300e-02  
1.19421e-01  2.16765e-06  1.80415e-06  1.19421e-02  
1.31610e-01  2.87488e-06  1.65758e-06  1.31610e-02  
1.37567e-01  1.32221e-06  1.59964e-06  1.37567e-02  
1.43704e-01  1.12694e-06  1.54733e-06  1.43704e-02  
1.39897e-01  5.74783e-06  1.15856e-06  1.39897e-02  
1.56844e-01  1.77717e-07  1.12466e-06  1.56844e-02  
1.82158e-01  1.51949e-06  1.09054e-06  1.82158e-02  
