#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00991e-03  9.30487e-01  1.35327e-02  7.00991e-04  
7.66773e-03  9.66978e-01  1.34752e-02  7.66773e-04  
8.31934e-03  9.61456e-01  1.34039e-02  8.31934e-04  
8.95569e-03  9.25618e-01  1.33166e-02  8.95569e-04  
9.60699e-03  9.33378e-01  1.32039e-02  9.60699e-04  
1.02789e-02  8.89101e-01  1.30559e-02  1.02789e-03  
1.09400e-02  8.83259e-01  1.28679e-02  1.09400e-03  
1.15943e-02  8.39727e-01  1.26301e-02  1.15943e-03  
1.22580e-02  7.95133e-01  1.23221e-02  1.22580e-03  
1.28967e-02  7.55622e-01  1.19464e-02  1.28967e-03  
1.35517e-02  7.04099e-01  1.14630e-02  1.35517e-03  
1.42344e-02  6.00457e-01  1.08315e-02  1.42344e-03  
1.48626e-02  5.52628e-01  1.01272e-02  1.48626e-03  
1.55299e-02  4.38883e-01  9.24586e-03  1.55299e-03  
1.61806e-02  3.75004e-01  8.26472e-03  1.61806e-03  
1.68421e-02  2.66805e-01  7.16868e-03  1.68421e-03  
1.74840e-02  2.09580e-01  6.05427e-03  1.74840e-03  
1.81471e-02  1.31427e-01  4.89938e-03  1.81471e-03  
1.87878e-02  7.65486e-02  3.82592e-03  1.87878e-03  
1.94510e-02  3.94398e-02  2.80806e-03  1.94510e-03  
2.00817e-02  2.22417e-02  1.97891e-03  2.00817e-03  
2.07114e-02  1.24246e-02  1.35652e-03  2.07114e-03  
2.14073e-02  5.86883e-03  1.06102e-03  2.14073e-03  
2.20652e-02  8.20296e-03  1.17238e-03  2.20652e-03  
2.27023e-02  9.43814e-03  1.43515e-03  2.27023e-03  
2.34108e-02  1.83679e-02  1.72998e-03  2.34108e-03  
2.40194e-02  2.10058e-02  1.93633e-03  2.40194e-03  
2.47220e-02  2.39847e-02  2.10479e-03  2.47220e-03  
2.53841e-02  2.28837e-02  2.19845e-03  2.53841e-03  
2.59365e-02  2.55975e-02  2.23166e-03  2.59365e-03  
2.50125e-02  2.41135e-02  1.33484e-04  2.50125e-03  
