#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00273e-03  9.93126e-01  1.23098e-02  7.00273e-04  
7.27889e-03  1.00579e+00  1.23098e-02  7.27889e-04  
7.55133e-03  1.00202e+00  1.23098e-02  7.55133e-04  
7.81714e-03  9.95914e-01  1.23098e-02  7.81714e-04  
8.10672e-03  9.76091e-01  1.23098e-02  8.10672e-04  
8.37565e-03  1.00235e+00  1.23098e-02  8.37565e-04  
8.65148e-03  1.01654e+00  1.23098e-02  8.65148e-04  
8.95141e-03  9.88761e-01  1.23098e-02  8.95141e-04  
9.19521e-03  1.00162e+00  1.23098e-02  9.19521e-04  
9.46844e-03  9.90109e-01  1.23098e-02  9.46844e-04  
9.75405e-03  9.87574e-01  1.23098e-02  9.75405e-04  
1.00535e-02  9.87099e-01  1.23098e-02  1.00535e-03  
1.03037e-02  9.96618e-01  1.23098e-02  1.03037e-03  
1.05736e-02  1.00541e+00  1.23098e-02  1.05736e-03  
1.08625e-02  9.97446e-01  1.23098e-02  1.08625e-03  
1.11108e-02  9.93848e-01  1.22942e-02  1.11108e-03  
1.14275e-02  9.82005e-01  1.22498e-02  1.14275e-03  
1.16811e-02  9.56890e-01  1.19743e-02  1.16811e-03  
1.19597e-02  8.10907e-01  1.11867e-02  1.19597e-03  
1.22558e-02  6.87961e-01  9.99824e-03  1.22558e-03  
1.25323e-02  4.98905e-01  8.76940e-03  1.25323e-03  
1.27756e-02  3.41073e-01  7.21511e-03  1.27756e-03  
1.30671e-02  1.60671e-01  4.92882e-03  1.30671e-03  
1.33237e-02  9.75909e-02  3.83915e-03  1.33237e-03  
1.36041e-02  6.37561e-02  3.02755e-03  1.36041e-03  
1.38510e-02  4.58136e-02  2.56475e-03  1.38510e-03  
1.41596e-02  3.26424e-02  2.26016e-03  1.41596e-03  
1.44653e-02  3.15244e-02  2.11221e-03  1.44653e-03  
1.47220e-02  2.21943e-02  2.03777e-03  1.47220e-03  
1.49630e-02  2.38928e-02  1.98684e-03  1.49630e-03  
1.52606e-02  2.76889e-02  1.92934e-03  1.52606e-03  
1.55277e-02  1.82340e-02  1.87990e-03  1.55277e-03  
1.58062e-02  2.13248e-02  1.83039e-03  1.58062e-03  
1.60874e-02  2.39503e-02  1.78235e-03  1.60874e-03  
1.63711e-02  2.11108e-02  1.73572e-03  1.63711e-03  
1.66289e-02  1.68942e-02  1.69480e-03  1.66289e-03  
1.69539e-02  1.53711e-02  1.64526e-03  1.69539e-03  
1.71487e-02  1.93916e-02  1.61619e-03  1.71487e-03  
1.74895e-02  1.66564e-02  1.56768e-03  1.74895e-03  
1.77401e-02  1.49558e-02  1.53303e-03  1.77401e-03  
1.80373e-02  1.52163e-02  1.49347e-03  1.80373e-03  
1.83125e-02  1.39733e-02  1.45814e-03  1.83125e-03  
1.85620e-02  1.43588e-02  1.42715e-03  1.85620e-03  
1.88661e-02  1.43665e-02  1.39045e-03  1.88661e-03  
1.91247e-02  1.14305e-02  1.36031e-03  1.91247e-03  
1.93723e-02  1.11488e-02  1.33225e-03  1.93723e-03  
