#  Q(A^-1)        R           dR         dQ(A^-1)    
6.99082e-03  9.85717e-01  1.38595e-02  6.99082e-04  
7.38391e-03  9.89511e-01  1.38595e-02  7.38391e-04  
7.78123e-03  9.92435e-01  1.38595e-02  7.78123e-04  
8.18317e-03  1.02910e+00  1.38595e-02  8.18317e-04  
8.54047e-03  9.94492e-01  1.38595e-02  8.54047e-04  
8.94016e-03  9.99355e-01  1.38595e-02  8.94016e-04  
9.31263e-03  9.87461e-01  1.38595e-02  9.31263e-04  
9.71904e-03  9.95945e-01  1.38595e-02  9.71904e-04  
1.01109e-02  9.88186e-01  1.38595e-02  1.01109e-03  
1.05168e-02  9.87176e-01  1.38595e-02  1.05168e-03  
1.08909e-02  1.01109e+00  1.38595e-02  1.08909e-03  
1.12812e-02  1.02841e+00  1.38595e-02  1.12812e-03  
1.16530e-02  9.99157e-01  1.38595e-02  1.16530e-03  
1.20464e-02  1.01743e+00  1.38595e-02  1.20464e-03  
1.24171e-02  1.00211e+00  1.38595e-02  1.24171e-03  
1.28183e-02  1.00232e+00  1.38595e-02  1.28183e-03  
1.31902e-02  9.96028e-01  1.38595e-02  1.31902e-03  
1.35880e-02  9.93878e-01  1.38595e-02  1.35880e-03  
1.39810e-02  1.01356e+00  1.38595e-02  1.39810e-03  
1.43643e-02  9.99710e-01  1.38595e-02  1.43643e-03  
1.47793e-02  9.85750e-01  1.38595e-02  1.47793e-03  
1.51414e-02  1.01822e+00  1.38595e-02  1.51414e-03  
1.55218e-02  9.77643e-01  1.38595e-02  1.55218e-03  
1.59069e-02  1.01514e+00  1.38595e-02  1.59069e-03  
1.63003e-02  9.99653e-01  1.38592e-02  1.63003e-03  
1.67075e-02  9.86717e-01  1.38538e-02  1.67075e-03  
1.70884e-02  9.81036e-01  1.38202e-02  1.70884e-03  
1.74717e-02  9.87574e-01  1.37024e-02  1.74717e-03  
1.78923e-02  9.18964e-01  1.33541e-02  1.78923e-03  
1.82182e-02  8.59522e-01  1.28743e-02  1.82182e-03  
1.86473e-02  7.47928e-01  1.19478e-02  1.86473e-03  
1.90275e-02  6.18985e-01  1.08705e-02  1.90275e-03  
1.93994e-02  5.01139e-01  9.60381e-03  1.93994e-03  
1.98133e-02  3.59374e-01  8.24255e-03  1.98133e-03  
2.01921e-02  2.58758e-01  7.21131e-03  2.01921e-03  
2.05727e-02  2.12592e-01  6.38813e-03  2.05727e-03  
2.09379e-02  1.72367e-01  5.75239e-03  2.09379e-03  
2.13234e-02  1.40799e-01  5.22665e-03  2.13234e-03  
2.17101e-02  1.20134e-01  4.82166e-03  2.17101e-03  
2.21222e-02  1.01309e-01  4.45382e-03  2.21222e-03  
2.25073e-02  9.18631e-02  4.15174e-03  2.25073e-03  
2.28965e-02  8.15439e-02  3.88354e-03  2.28965e-03  
2.32636e-02  7.32701e-02  3.65636e-03  2.32636e-03  
2.36464e-02  5.82119e-02  3.44375e-03  2.36464e-03  
2.40457e-02  5.42614e-02  3.24758e-03  2.40457e-03  
2.44683e-02  4.99357e-02  3.06881e-03  2.44683e-03  
2.48505e-02  4.47038e-02  2.92428e-03  2.48505e-03  
2.51815e-02  4.32435e-02  2.81093e-03  2.51815e-03  
2.55856e-02  4.06092e-02  2.68459e-03  2.55856e-03  
2.60024e-02  3.50963e-02  2.56402e-03  2.60024e-03  
2.50303e-02  4.27297e-02  1.77080e-04  2.50303e-03  
2.73993e-02  2.53158e-02  1.36786e-04  2.73993e-03  
2.98515e-02  1.59330e-02  1.08094e-04  2.98515e-03  
3.22311e-02  1.05697e-02  8.94737e-05  3.22311e-03  
3.46523e-02  7.53176e-03  7.48579e-05  3.46523e-03  
3.70643e-02  5.52337e-03  6.39300e-05  3.70643e-03  
3.94262e-02  4.12678e-03  5.55321e-05  3.94262e-03  
4.19367e-02  3.12364e-03  4.82725e-05  4.19367e-03  
4.44241e-02  2.40281e-03  4.25106e-05  4.44241e-03  
4.66945e-02  1.86351e-03  3.81236e-05  4.66945e-03  
4.92757e-02  1.51244e-03  3.39279e-05  4.92757e-03  
5.15759e-02  1.22890e-03  3.07724e-05  5.15759e-03  
5.40780e-02  9.87440e-04  2.78269e-05  5.40780e-03  
5.64555e-02  7.86907e-04  2.54116e-05  5.64555e-03  
5.87705e-02  6.62723e-04  2.33592e-05  5.87705e-03  
6.13081e-02  5.57277e-04  2.13900e-05  6.13081e-03  
6.37897e-02  5.07268e-04  1.97008e-05  6.37897e-03  
6.61212e-02  4.21113e-04  1.82955e-05  6.61212e-03  
6.86503e-02  3.22730e-04  1.69387e-05  6.86503e-03  
7.10367e-02  2.84556e-04  1.57959e-05  7.10367e-03  
7.32765e-02  2.80780e-04  1.48283e-05  7.32765e-03  
7.57368e-02  2.23455e-04  1.38672e-05  7.57368e-03  
7.82461e-02  1.83856e-04  1.29833e-05  7.82461e-03  
8.05292e-02  1.71213e-04  1.22523e-05  8.05292e-03  
8.31776e-02  1.51390e-04  1.14820e-05  8.31776e-03  
8.55592e-02  1.49356e-04  1.08516e-05  8.55592e-03  
8.79906e-02  1.20035e-04  1.02619e-05  8.79906e-03  
9.03108e-02  1.06971e-04  9.74464e-06  9.03108e-03  
9.26715e-02  1.05780e-04  9.25899e-06  9.26715e-03  
9.51184e-02  9.03782e-05  8.79446e-06  9.51184e-03  
9.76365e-02  7.85609e-05  8.35356e-06  9.76365e-03  
9.98454e-02  7.62766e-05  7.99481e-06  9.98454e-03  
9.48325e-02  8.50486e-05  4.50920e-06  9.48325e-03  
1.01101e-01  6.62246e-05  4.04178e-06  1.01101e-02  
1.07388e-01  4.62269e-05  3.65493e-06  1.07388e-02  
1.13348e-01  3.77904e-05  3.34761e-06  1.13348e-02  
1.19594e-01  3.55452e-05  3.07489e-06  1.19594e-02  
1.25443e-01  2.37132e-05  2.85652e-06  1.25443e-02  
1.31690e-01  1.78206e-05  2.65552e-06  1.31690e-02  
1.37824e-01  1.33744e-05  2.48496e-06  1.37824e-02  
1.43733e-01  1.56067e-05  2.34150e-06  1.43733e-02  
1.50030e-01  9.72936e-06  2.20750e-06  1.50030e-02  
1.40090e-01  1.25645e-05  1.39100e-06  1.40090e-02  
1.48372e-01  1.23422e-05  1.33988e-06  1.48372e-02  
1.56807e-01  5.36805e-06  1.29621e-06  1.56807e-02  
1.64889e-01  5.92392e-06  1.26074e-06  1.64889e-02  
1.73691e-01  3.80227e-06  1.22784e-06  1.73691e-02  
1.81967e-01  3.73307e-06  1.20139e-06  1.81967e-02  
1.90767e-01  4.90041e-06  1.17717e-06  1.90767e-02  
1.99031e-01  1.35855e-06  1.15748e-06  1.99031e-02  
2.07204e-01  1.31198e-06  1.14046e-06  2.07204e-02  
2.16233e-01  4.96270e-07  1.12404e-06  2.16233e-02  
2.23965e-01  2.20067e-06  1.11169e-06  2.23965e-02  
2.32543e-01  5.63639e-07  1.09956e-06  2.32543e-02  
2.41181e-01  7.57804e-07  1.08880e-06  2.41181e-02  
2.58051e-01  5.21138e-07  1.07123e-06  2.58051e-02  
2.91449e-01  1.32777e-06  1.04640e-06  2.91449e-02  
2.99816e-01  1.33697e-07  1.04172e-06  2.99816e-02  
