#  Q(A^-1)        R           dR         dQ(A^-1)    
7.00295e-03  9.73142e-01  1.29527e-02  7.00295e-04  
7.38897e-03  9.83001e-01  1.29527e-02  7.38897e-04  
7.78504e-03  1.01180e+00  1.29527e-02  7.78504e-04  
8.15966e-03  9.98927e-01  1.29527e-02  8.15966e-04  
8.55735e-03  9.91710e-01  1.29527e-02  8.55735e-04  
8.94319e-03  9.80013e-01  1.29527e-02  8.94319e-04  
9.32216e-03  9.87015e-01  1.29527e-02  9.32216e-04  
9.72159e-03  1.01251e+00  1.29527e-02  9.72159e-04  
1.01111e-02  9.83504e-01  1.29527e-02  1.01111e-03  
1.04895e-02  9.94484e-01  1.29527e-02  1.04895e-03  
1.08885e-02  9.99136e-01  1.29527e-02  1.08885e-03  
1.12706e-02  1.00711e+00  1.29484e-02  1.12706e-03  
1.16587e-02  1.00668e+00  1.28857e-02  1.16587e-03  
1.20495e-02  9.59358e-01  1.26447e-02  1.20495e-03  
1.24104e-02  8.48757e-01  1.17436e-02  1.24104e-03  
1.28219e-02  6.08406e-01  1.01715e-02  1.28219e-03  
1.32021e-02  3.79384e-01  7.99482e-03  1.32021e-03  
1.36100e-02  2.05696e-01  5.82074e-03  1.36100e-03  
1.39844e-02  1.14347e-01  4.36661e-03  1.39844e-03  
1.43587e-02  6.38304e-02  3.34821e-03  1.43587e-03  
1.47984e-02  4.61615e-02  2.65290e-03  1.47984e-03  
1.51353e-02  3.35706e-02  2.39075e-03  1.51353e-03  
1.55321e-02  2.48867e-02  2.21964e-03  1.55321e-03  
1.59243e-02  2.23049e-02  2.10625e-03  1.59243e-03  
1.63315e-02  2.64254e-02  2.00503e-03  1.63315e-03  
1.67067e-02  1.91886e-02  1.91033e-03  1.67067e-03  
1.70700e-02  1.86289e-02  1.81594e-03  1.70700e-03  
1.74524e-02  1.76097e-02  1.71614e-03  1.74524e-03  
1.78339e-02  1.89379e-02  1.62081e-03  1.78339e-03  
1.82656e-02  1.52377e-02  1.51934e-03  1.82656e-03  
1.86409e-02  1.25828e-02  1.43793e-03  1.86409e-03  
1.90284e-02  1.20965e-02  1.36275e-03  1.90284e-03  
1.93825e-02  9.16417e-03  1.29968e-03  1.93825e-03  
1.97681e-02  8.56762e-03  1.23660e-03  1.97681e-03  
2.02173e-02  7.96396e-03  1.17005e-03  2.02173e-03  
2.05549e-02  8.55899e-03  1.12410e-03  2.05549e-03  
2.09466e-02  5.18066e-03  1.07431e-03  2.09466e-03  
2.13301e-02  5.54186e-03  1.02866e-03  2.13301e-03  
2.17555e-02  6.32706e-03  9.82090e-04  2.17555e-03  
2.21365e-02  6.54044e-03  9.42785e-04  2.21365e-03  
2.25151e-02  4.09167e-03  9.05903e-04  2.25151e-03  
2.28681e-02  4.79185e-03  8.73712e-04  2.28681e-03  
2.33173e-02  4.03174e-03  8.35242e-04  2.33173e-03  
2.36420e-02  3.76536e-03  8.08931e-04  2.36420e-03  
2.40829e-02  4.37417e-03  7.75198e-04  2.40829e-03  
2.44805e-02  3.55985e-03  7.46703e-04  2.44805e-03  
2.48036e-02  3.24615e-03  7.24653e-04  2.48036e-03  
2.51589e-02  2.83029e-03  7.01504e-04  2.51589e-03  
2.56363e-02  2.10178e-03  6.72252e-04  2.56363e-03  
2.59535e-02  2.93469e-03  6.53815e-04  2.59535e-03  
2.49874e-02  2.96927e-03  4.47906e-05  2.49874e-03  
2.74444e-02  2.00691e-03  3.64305e-05  2.74444e-03  
2.98431e-02  1.38118e-03  3.03983e-05  2.98431e-03  
3.22843e-02  9.17066e-04  2.57148e-05  3.22843e-03  
3.46839e-02  6.96527e-04  2.21174e-05  3.46839e-03  
3.71266e-02  4.94594e-04  1.91963e-05  3.71266e-03  
3.95438e-02  4.15904e-04  1.68541e-05  3.95438e-03  
4.19574e-02  3.05983e-04  1.49290e-05  4.19574e-03  
4.43736e-02  2.56991e-04  1.33231e-05  4.43736e-03  
4.67670e-02  1.79255e-04  1.19818e-05  4.67670e-03  
4.92037e-02  1.36808e-04  1.08205e-05  4.92037e-03  
5.16331e-02  1.20332e-04  9.82824e-06  5.16331e-03  
5.40444e-02  9.56605e-05  8.97710e-06  5.40444e-03  
5.64820e-02  7.31585e-05  8.22863e-06  5.64820e-03  
5.88801e-02  8.33219e-05  7.58392e-06  5.88801e-03  
6.13236e-02  6.32975e-05  7.00549e-06  6.13236e-03  
6.36321e-02  4.82740e-05  6.52098e-06  6.36321e-03  
6.61884e-02  4.34696e-05  6.04398e-06  6.61884e-03  
6.84689e-02  2.95753e-05  5.66430e-06  6.84689e-03  
